,Link to PDF,Dates of Breach,Name of Entity,State Reported
66,https://www.doj.nh.gov/consumer/security-breaches/documents/akwa-vista-20190206.pdf,"February 06, 2019","Akwa Vista LLC,  ",New Hampshire
67,https://www.doj.nh.gov/consumer/security-breaches/documents/alaska-airlines-20180503.pdf,"May 03, 2018","Alaska Airlines, ",New Hampshire
68,https://www.doj.nh.gov/consumer/security-breaches/documents/alaska-communications-20140224.pdf,"February 24,  2014","Alaska Communications Systems Holdings, Inc., ",New Hampshire
69,https://www.doj.nh.gov/consumer/security-breaches/documents/alere-20121030.pdf,"October 30, 2012","Alere Home Monitoring, Inc., ",New Hampshire
70,https://www.doj.nh.gov/consumer/security-breaches/documents/alfa-insurance-20150710.pdf,"July 10, 2015","Alfa Specialty Insurance Corporation and Alfa Vision Insurance Corporation, ",New Hampshire
71,https://www.doj.nh.gov/consumer/security-breaches/documents/al-farabi-kazakh-20190123.pdf,"January 23, 2019","Al-Farabi Kazakh National University,  ",New Hampshire
72,https://www.doj.nh.gov/consumer/security-breaches/documents/alin-machining-20150112.pdf,"January 12, 2015","Alin Machining Company Inc dba Power Plant Services, ",New Hampshire
73,https://www.doj.nh.gov/consumer/security-breaches/documents/alliance-workplace-solutions-20141024.pdf,"October 24, 2014","Alliance Workplace Solutions, LLC, ",New Hampshire
74,https://www.doj.nh.gov/consumer/security-breaches/documents/alliedbarton-20130716.pdf,"July 16, 2013","AlliedBarton Security Services LLC, ",New Hampshire
75,https://www.doj.nh.gov/consumer/security-breaches/documents/allied-minds-20170224.pdf,"February 24, 2017","Allied Minds, LLC, ",New Hampshire
76,https://www.doj.nh.gov/consumer/security-breaches/documents/alm-media-20190123.pdf,"January 23, 2019","ALM Media, LLC,  ",New Hampshire
77,https://www.doj.nh.gov/consumer/security-breaches/documents/alpha-industries-20171026.pdf,"October 26, 2017","Alpha Industries, Inc., ",New Hampshire
78,https://www.doj.nh.gov/consumer/security-breaches/documents/alpha-industries-20171002.pdf,"October 02, 2017","Alpha Industries, Inc., ",New Hampshire
79,https://www.doj.nh.gov/consumer/security-breaches/documents/alpha-payroll-20160429.pdf,"April 29, 2016","Alpha Payroll Services, LLC, ",New Hampshire
80,https://www.doj.nh.gov/consumer/security-breaches/documents/alta-ski-lifts-20150309.pdf,"March 09, 2015","Alta Ski Lifts, Co., ",New Hampshire
81,https://www.doj.nh.gov/consumer/security-breaches/documents/alton-lane-20180110.pdf,"January 10, 2018","Alton Lane, ",New Hampshire
82,https://www.doj.nh.gov/consumer/security-breaches/documents/altrec-20120524.pdf,"May 24, 2012","Altrec, Inc., ",New Hampshire
83,https://www.doj.nh.gov/consumer/security-breaches/documents/am2-20170919.pdf,"September 19, 2017","AM2 Enterprises, LLC, ",New Hampshire
84,https://www.doj.nh.gov/consumer/security-breaches/documents/amb-industries-20110414.pdf,"April 14, 2011","AMB Industries, ",New Hampshire
85,https://www.doj.nh.gov/consumer/security-breaches/documents/ambassador-title-20170228.pdf,"February 28, 2017","Ambassador Title Service and Accurate Title Company, ",New Hampshire
86,https://www.doj.nh.gov/consumer/security-breaches/documents/amedisys-20150302.pdf,"March 02, 2015","Amedisys, Inc., ",New Hampshire
87,https://www.doj.nh.gov/consumer/security-breaches/documents/american-esoteric-20180420.pdf,"April 20, 2018","American Esoteric Laboratories (AEL), ",New Hampshire
88,https://www.doj.nh.gov/consumer/security-breaches/documents/american-express-travel-20180322.pdf,"March 22, 2018","American Express Travel Related Services Company, Inc., ",New Hampshire
89,https://www.doj.nh.gov/consumer/security-breaches/documents/american-friends-20170821.pdf,"August 21, 2017","American Friends Service Committee, ",New Hampshire
90,https://www.doj.nh.gov/consumer/security-breaches/documents/american-institute-20180820.pdf,"August 20, 	2018","American Institute of Aeronautics and Astronautics, 	",New Hampshire
91,https://www.doj.nh.gov/consumer/security-breaches/documents/american-pharmacists-20120709.pdf,"July 09, 2012","American Pharmacists Association, ",New Hampshire
92,https://www.doj.nh.gov/consumer/security-breaches/documents/american-residuals-talent-20141202.pdf,"December 02, 2014","American Residuals and Talent, Inc., ",New Hampshire
93,https://www.doj.nh.gov/consumer/security-breaches/documents/american-stock-20120413.pdf,"April 13, 2012","American Stock Transfer & Trust Company, LLC, ",New Hampshire
94,https://www.doj.nh.gov/consumer/security-breaches/documents/american-stock-20120214.pdf,February 14 2012,"American Stock Transfer & Trust Company, LLC, ",New Hampshire
95,https://www.doj.nh.gov/consumer/security-breaches/documents/american-tires-20190211.pdf,"February 11, 2019","American Tire Distributors, Inc. ,  ",New Hampshire
96,https://www.doj.nh.gov/consumer/security-breaches/documents/american-tire-20170317.pdf,"March 17, 2017","American Tire Disttributors Holdings, Inc., ",New Hampshire
97,https://www.doj.nh.gov/consumer/security-breaches/documents/american-tool-supply-20121119.pdf,"November 19, 2012","American Tool Supply, ",New Hampshire
98,https://www.doj.nh.gov/consumer/security-breaches/documents/ameripride-20160226.pdf,"February 26, 2016","AmeriPride Services, Inc., ",New Hampshire
99,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20181218.pdf,"December 18, 2018","Ameriprise Financial Services, Inc,   ",New Hampshire
100,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20170713.pdf,"July 13, 2017","Ameriprise Financial Services, Inc., ",New Hampshire
101,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20170406.pdf,"April 06, 2017","Ameriprise Financial Services, Inc., ",New Hampshire
102,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20170314.pdf,"March 14, 2017","Ameriprise Financial Services, Inc., ",New Hampshire
103,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20161221.pdf,"December 21, 2016","Ameriprise Financial Services, Inc., ",New Hampshire
104,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20160613.pdf,"June 13, 2016","Ameriprise Financial Services, Inc., ",New Hampshire
105,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20151125.pdf,"November 25, 2015","Ameriprise Financial Services, Inc., ",New Hampshire
106,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20150206.pdf,"February 06, 2015","Ameriprise Financial Services, Inc., ",New Hampshire
107,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20121113.pdf,November 13 2012,"Ameriprise Financial Services, Inc., ",New Hampshire
108,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20100212.pdf,"February 12, 2010","Ameriprise Financial Services, Inc., ",New Hampshire
109,https://www.doj.nh.gov/consumer/security-breaches/documents/ameritrade-security-20070913.pdf,"September 13, 2007","Ameritrade Security, ",New Hampshire
110,https://www.doj.nh.gov/consumer/security-breaches/documents/amplify-education-20170216.pdf,"February 16, 2017","Amplify Education, Inc., ",New Hampshire
111,https://www.doj.nh.gov/consumer/security-breaches/documents/amr-resorts-20141215.pdf,"December 15, 2014","AMR Resorts, ",New Hampshire
112,https://www.doj.nh.gov/consumer/security-breaches/documents/amtote-20170206.pdf,"February 06, 2017","AmTote, ",New Hampshire
113,https://www.doj.nh.gov/consumer/security-breaches/documents/anchor-loans-20161209.pdf,"December 09, 2016","Anchor Loans, ",New Hampshire
114,https://www.doj.nh.gov/consumer/security-breaches/documents/anderson-bagley-mayo-20181109.pdf,"November 09, 2018","Anderson, Bagley & Mayo Insurance Agency, Inc. (""AB&M""), ",New Hampshire
115,https://www.doj.nh.gov/consumer/security-breaches/documents/anderson-murison-20141031.pdf,"October 31, 2014","Anderson & Murison, Inc., ",New Hampshire
116,https://www.doj.nh.gov/consumer/security-breaches/documents/anderson-murison-20140807.pdf,"August 07, 2014","Anderson & Murison, Inc., ",New Hampshire
117,https://www.doj.nh.gov/consumer/security-breaches/documents/anderson-20180628.pdf,"June 28, 2018","Anderson & Vreeland, Inc., ",New Hampshire
118,https://www.doj.nh.gov/consumer/security-breaches/documents/andrews-cpa-20170824.pdf,"August 24, 2017","Andrews, CPA, LLC (Mark F.) ",New Hampshire
119,https://www.doj.nh.gov/consumer/security-breaches/documents/angliss-colohan-20170530.pdf,"May 30, 2017","Angliss & Colohan, PC, ",New Hampshire
120,https://www.doj.nh.gov/consumer/security-breaches/documents/anniemac-20180216.pdf,"February 16, 2018","AnnieMac Home Mortgage, ",New Hampshire
121,https://www.doj.nh.gov/consumer/security-breaches/documents/another-planet-entertainment-20181003.pdf,"October 03, 2018","Another Planet Entertainment, ",New Hampshire
122,https://www.doj.nh.gov/consumer/security-breaches/documents/anthem-20150218.pdf,"February 18, 2015","Anthem Blue Cross and Blue Shield, ",New Hampshire
123,https://www.doj.nh.gov/consumer/security-breaches/documents/anthem-20130314.pdf,"March 14, 2013","Anthem Blue Cross and Blue Shield, ",New Hampshire
124,https://www.doj.nh.gov/consumer/security-breaches/documents/anthem-20150601.pdf,"June 01, 2015","Anthem, Inc., ",New Hampshire
125,https://www.doj.nh.gov/consumer/security-breaches/documents/anthem-mcdermott-20150312.pdf,,"Anthem McDermott BlueCross BlueShield Medical Plan, March 125, 201",New Hampshire
126,https://www.doj.nh.gov/consumer/security-breaches/documents/mcdermott-bluecross-blueshield-20150227.pdf,"February 27, 2015","Anthem McDermott BlueCross, BlueShield Medical Plan, ",New Hampshire
127,https://www.doj.nh.gov/consumer/security-breaches/documents/anthem-20150320.pdf,"March 20, 2015","Anthem Blue Cross Blue Shield of MA, ",New Hampshire
128,https://www.doj.nh.gov/consumer/security-breaches/documents/appen-butler-20180105.pdf,January 05. 2018,"Appen Butler Hill, Inc., ",New Hampshire
129,https://www.doj.nh.gov/consumer/security-breaches/documents/apple-america-group-20150315.pdf,"March 15, 2015","Apple America Group LLC, ",New Hampshire
130,https://www.doj.nh.gov/consumer/security-breaches/documents/apple-20110616.pdf,"June 16, 2011","Apple, ",New Hampshire
131,https://www.doj.nh.gov/consumer/security-breaches/documents/apple-leisure-group-20141215.pdf.pdf,"December 15, 2014","Apple Leisure Group, ",New Hampshire
132,https://www.doj.nh.gov/consumer/security-breaches/documents/applied-micro-circuits-20110324.pdf,"March 24, 2011","Applied Micro Circuits Corp., ",New Hampshire
133,https://www.doj.nh.gov/consumer/security-breaches/documents/applied-systems-20160307.pdf,"March 07, 2016","Applied Systems, Inc., ",New Hampshire
134,https://www.doj.nh.gov/consumer/security-breaches/documents/apria-20161020.pdf,"October 20, 2016","Apria Healthcare, Inc., ",New Hampshire
135,https://www.doj.nh.gov/consumer/security-breaches/documents/apria-healthcare-20120927.pdf,"September 27, 2012","Apria Healthcare, Inc. ",New Hampshire
136,https://www.doj.nh.gov/consumer/security-breaches/documents/apria-healthcare-20120815.pdf,"August 15, 2012","Apria Healthcare, Inc., ",New Hampshire
137,https://www.doj.nh.gov/consumer/security-breaches/documents/aptos-20170824.pdf,"August 24, 2017","Aptos, ",New Hampshire
138,https://www.doj.nh.gov/consumer/security-breaches/documents/aptos-20170428.pdf,"April 28, 2017","Aptos, ",New Hampshire
139,https://www.doj.nh.gov/consumer/security-breaches/documents/aptos-20170404.pdf,"April 04, 2017","Aptos, ",New Hampshire
140,https://www.doj.nh.gov/consumer/security-breaches/documents/aptos-20170310.pdf,"March 10, 2017","Aptos, ",New Hampshire
141,https://www.doj.nh.gov/consumer/security-breaches/documents/aptos-20170308.pdf,"March 08, 2017","Aptos, ",New Hampshire
142,https://www.doj.nh.gov/consumer/security-breaches/documents/aptos-20170303.pdf,"March 03, 2017","Aptos, ",New Hampshire
143,https://www.doj.nh.gov/consumer/security-breaches/documents/aptos-20170225.pdf,"February 25, 2017","Aptos, ",New Hampshire
144,https://www.doj.nh.gov/consumer/security-breaches/documents/aptus-health-20190131.pdf,"January 31, 2019","Aptus Health Inc.,  ",New Hampshire
145,https://www.doj.nh.gov/consumer/security-breaches/documents/aqua-aston-20170706.pdf,"July 06, 2017","Aqua-Aston Hospitality, LLC, ",New Hampshire
146,https://www.doj.nh.gov/consumer/security-breaches/documents/arabella-20170222.pdf,"February 22, 2017","Arabella Advisors, LLC, ",New Hampshire
147,https://www.doj.nh.gov/consumer/security-breaches/documents/argotec-20130812.pdf,"August 12, 2013","Argotec, ",New Hampshire
148,https://www.doj.nh.gov/consumer/security-breaches/documents/ariad-pharmaceuticals-20160531.pdf,"May 31, 2016","ARIAD Pharmaceuticals, Inc., ",New Hampshire
149,https://www.doj.nh.gov/consumer/security-breaches/documents/arizona-central-cu-experian-20120608.pdf,"June 08, 2012","Arizona Central Credit Union (Experian), ",New Hampshire
150,https://www.doj.nh.gov/consumer/security-breaches/documents/arrow-electronics-20100303.pdf,"March 03, 2010","Arrow Electronics, Inc., ",New Hampshire
151,https://www.doj.nh.gov/consumer/security-breaches/documents/art-of-tea-20141231.pdf,"December 31, 2014","Art of Tea, ",New Hampshire
152,https://www.doj.nh.gov/consumer/security-breaches/documents/asbury-20170209.pdf,"February 09, 2017","Asbury Communities, Inc., ",New Hampshire
153,https://www.doj.nh.gov/consumer/security-breaches/documents/ascena-20141217.pdf,"December 17, 2014","Ascena Retail Group, Inc., ",New Hampshire
154,https://www.doj.nh.gov/consumer/security-breaches/documents/ascensus-20110727.pdf,"July 27, 2011","Ascensus, Inc., ",New Hampshire
155,https://www.doj.nh.gov/consumer/security-breaches/documents/ashland-university-20170224.pdf,"February 24, 2017","Ashland University, ",New Hampshire
156,https://www.doj.nh.gov/consumer/security-breaches/documents/asi-construction-20180301.pdf,"March 01, 2018","ASI Construction LLC, ",New Hampshire
157,https://www.doj.nh.gov/consumer/security-breaches/documents/assisted-living-concepts-20140328.pdf,"March 28, 2014","Assisted Living Concepts, ",New Hampshire
158,https://www.doj.nh.gov/consumer/security-breaches/documents/assisted-living-concepts-20140226.pdf,"February 26, 2014","Assisted Living Concepts, ",New Hampshire
159,https://www.doj.nh.gov/consumer/security-breaches/documents/astadia-20170206.pdf,"February 06, 2017","Astadia, Inc., ",New Hampshire
160,https://www.doj.nh.gov/consumer/security-breaches/documents/asure-software-20160407.pdf,"April 07, 2016","Asure Software, ",New Hampshire
161,https://www.doj.nh.gov/consumer/security-breaches/documents/asurint-20181203.pdf,"December 03, 2018","Asurint, ",New Hampshire
162,https://www.doj.nh.gov/consumer/security-breaches/documents/athletic-clubs-20170131.pdf,"January 31, 2017","Athletic Clubs of America, Inc., ",New Hampshire
163,https://www.doj.nh.gov/consumer/security-breaches/documents/atlanta-falcons-20161021.pdf,"October 21, 2016","Atlanta Falcons Football Club, LLC, ",New Hampshire
164,https://www.doj.nh.gov/consumer/security-breaches/documents/atlantic-automotive-20140610.pdf,"June 10, 2014","Atlantic Automotive Corp. dba MileOne, Inc., ",New Hampshire
165,https://www.doj.nh.gov/consumer/security-breaches/documents/atlantic-cigar-20171010.pdf,"October 10, 2017","Atlantic Cigar Company LLC, ",New Hampshire
166,https://www.doj.nh.gov/consumer/security-breaches/documents/atlantic-digestive-20170620.pdf,"June 20, 2017","Atlantic Digestive Specialists, ",New Hampshire
167,https://www.doj.nh.gov/consumer/security-breaches/documents/atlantic-digestive-20170421.pdf,"April 21, 2017","Atlantic Digestive Specialists, ",New Hampshire
168,https://www.doj.nh.gov/consumer/security-breaches/documents/atrium-health-20181127.pdf,"November 27, 2018","Atrium Health (formerly Carolinas HealthCare System),   ",New Hampshire
169,https://www.doj.nh.gov/consumer/security-breaches/documents/att-20170519.pdf,"May 19, 2017","AT&T, ",New Hampshire
170,https://www.doj.nh.gov/consumer/security-breaches/documents/att-20150420.pdf,"April 20, 2015","AT&T, ",New Hampshire
171,https://www.doj.nh.gov/consumer/security-breaches/documents/att-20141001.pdf,"October 01, 2014","AT&T, ",New Hampshire
172,https://www.doj.nh.gov/consumer/security-breaches/documents/att-20140605.pdf,"June 05, 2014","AT&T, ",New Hampshire
173,https://www.doj.nh.gov/consumer/security-breaches/documents/atwood-distributing-20170321.pdf,"March 21, 2017","Atwood Distributing, LP, ",New Hampshire
174,https://www.doj.nh.gov/consumer/security-breaches/documents/auburn-university-20150402.pdf,"April 02, 2015","Auburn University, ",New Hampshire
175,https://www.doj.nh.gov/consumer/security-breaches/documents/auburn-university-20140321.pdf,"March 21, 2014","Auburn University, ",New Hampshire
176,https://www.doj.nh.gov/consumer/security-breaches/documents/auburn-university-20130802.pdf,"August 02, 2013","Auburn University, ",New Hampshire
177,https://www.doj.nh.gov/consumer/security-breaches/documents/augusta-university-20180904.pdf,"September 4, 2018","Augusta University, ",New Hampshire
178,https://www.doj.nh.gov/consumer/security-breaches/documents/au-medical-center-20170918.pdf,"September 18, 2017","AU Medical Center, Inc., ",New Hampshire
179,https://www.doj.nh.gov/consumer/security-breaches/documents/au-medical-center-20170526.pdf,"May 26, 2017","AU Medical Center, Inc./Augusta University, ",New Hampshire
180,https://www.doj.nh.gov/consumer/security-breaches/documents/austin-powder-20150407.pdf,"April 07, 2015","Austin Powder Company, ",New Hampshire
181,https://www.doj.nh.gov/consumer/security-breaches/documents/austin-rare-coins-20120720.pdf,"July 20, 2012","Austin Rare Coins, Inc., ",New Hampshire
182,https://www.doj.nh.gov/consumer/security-breaches/documents/autoliv-20180216.pdf,"February 16, 2018","Autoliv ASP, Inc., ",New Hampshire
183,https://www.doj.nh.gov/consumer/security-breaches/documents/automated-pet-20180725.pdf,"July 25, 2018","Automated Pet Care Products, Inc., ",New Hampshire
184,https://www.doj.nh.gov/consumer/security-breaches/documents/automatic-data-processing-20130604.pdf,"June 04, 2013","Automatic Data Processing (ADP), ",New Hampshire
185,https://www.doj.nh.gov/consumer/security-breaches/documents/automotive-recovery-services-20150706.pdf,"July 06, 2015","Automotive Recovery Services, Inc., dba Vehicle Donation Processing Center, ",New Hampshire
186,https://www.doj.nh.gov/consumer/security-breaches/documents/autonation-20140526.pdf,May 26 2014,"AutoNation, Inc., ",New Hampshire
187,https://www.doj.nh.gov/consumer/security-breaches/documents/avanti-markets-20171005.pdf,"October 05, 2017","Avanti Markets Inc., ",New Hampshire
188,https://www.doj.nh.gov/consumer/security-breaches/documents/avanti-markets-20170830.pdf,"August 30, 2017","Avanti Markets Inc., ",New Hampshire
189,https://www.doj.nh.gov/consumer/security-breaches/documents/avanti-markets-20170724.pdf,"July 24, 2017","Avanti Markets, Inc.,",New Hampshire
190,https://www.doj.nh.gov/consumer/security-breaches/documents/avendra-20160323.pdf,"March 23, 2016","Avendra, LLC, ",New Hampshire
