,Date Notice Provided to Consumers,Dates of Breach,Name of Entity,Individuals Affected,State Reported
118,2016-12-27,2016-11-09,"CityofHutchinson, Kansas",572 (1 in Indiana),Indiana
119,2017-02-16,2017-02-07,ClarkeUniversity,443 (2 in Indiana),Indiana
120,2017-04-27,2017-04-11,"ClarkRasmussenTaylor,CPAs",1361 (5 in Indiana),Indiana
121,2017-03-09,2017-02-07,ClarkSchaeferHackett,Unknown (11 in Indiana),Indiana
122,2017-09-20,2017-06-14,CliftonLarsonAllenLLP,1239 (23 in Indiana),Indiana
123,2017-03-30,2017-03-14,"ClintonHealthAccessInitiative,Inc.",102 (1 in Indiana),Indiana
124,2017-07-12,2016-08-10,ClubQuartersHotels,92360 (126 in Indiana),Indiana
125,2017-05-26,2017-01-01,"Clysar,LLC",329 (1 in Indiana),Indiana
126,2017-02-24,2017-01-26,CMACGM(America)LLC,337 (1 in Indiana),Indiana
127,2017-07-20,2017-07-07,Coatings&AdhesivesCorporation,189 (1 in Indiana),Indiana
128,2017-06-26,2017-04-30,"CoburnSupplyCompany,Inc.",55 (1 in Indiana),Indiana
129,2017-04-12,2017-02-20,"Coley,Eubank&Company,P.C.",753 (1 in Indiana),Indiana
130,2017-02-08,2017-02-02,CollegeofSouthernIdaho,2509 (1 in Indiana),Indiana
131,2017-07-26,2016-08-10,"ColumbiaWestProperties,Inc.",4406 (27 in Indiana),Indiana
132,2017-04-21,2017-04-05,ColumbusRegionalHealthPhysicians,1 (1 in Indiana),Indiana
133,2017-04-14,2015-07-01,"CombatBrands,LLC",37863 (420 in Indiana),Indiana
134,2017-03-16,2017-02-02,"ComfortTechnology,d/b/aTherafitShoes",445 (16 in Indiana),Indiana
135,2016-12-29,2016-11-25,"CommonBond,Inc.",1661 (28 in Indiana),Indiana
136,2017-04-03,2014-08-01,CommonwealthHealthCorporation,108919 (437 in Indiana),Indiana
137,2017-06-02,2017-05-22,CommunityHealthNetwork,1 (1 in Indiana),Indiana
138,2017-06-20,2017-05-22,CommunityHealthNetwork,1 (1 in Indiana),Indiana
139,2017-08-28,2017-07-28,CommunityHealthNetwork,Unknown (1 in Indiana),Indiana
140,2017-04-17,2017-03-24,CommunityHealthNetwork,1 (1 in Indiana),Indiana
141,2017-05-05,2017-03-27,CommunityHealthNetwork,1 (1 in Indiana),Indiana
142,2017-02-03,2017-01-19,CommunityHealthNetwork,1 (1 in Indiana),Indiana
143,2017-08-04,2017-07-28,CommunityHealthNetwork-SecurityBreach,1 (1 in Indiana),Indiana
144,2017-03-24,2017-02-15,ContinentalAmericanInsuranceCompany,675 (19 in Indiana),Indiana
145,2017-04-04,2017-01-08,Cooper'sHawkIntermediateHoldingsLLC,27 (5 in Indiana),Indiana
146,2017-01-17,,"CoPilotProviderSupportServices,Inc.",221178 (1282 in Indiana),Indiana
147,2017-08-29,2017-07-21,CoreLogicCredco,2189 (3 in Indiana),Indiana
148,2017-01-20,2016-09-06,"CoreSource,Inc.",71 (3 in Indiana),Indiana
149,2017-07-14,2017-04-17,CovantaHoldingCorporation,258 (3 in Indiana),Indiana
150,2017-06-16,2017-04-14,CoveFamily&SportsMedicine,4300 (3 in Indiana),Indiana
151,2017-08-24,2017-07-14,CrescentMortgageCompany,Unknown (10 in Indiana),Indiana
152,2017-06-01,2016-06-01,CrimsonTraceCorporation,6866 (171 in Indiana),Indiana
153,2017-01-06,2016-12-06,CrosmanCorporation,82 (3 in Indiana),Indiana
154,2017-05-02,2017-02-24,CSMBakerySolutions,949 (4 in Indiana),Indiana
155,2017-02-14,,"CTHRentals,LLC",Unknown (3 in Indiana),Indiana
156,2017-09-07,2017-07-13,"CurriculumAssociates,LLC",102 (6 in Indiana),Indiana
157,2017-02-24,2017-02-22,"CustomMechanicalSystems,Corp.",114 (42 in Indiana),Indiana
158,2017-05-01,2016-09-05,CuttersSports,2098 (28 in Indiana),Indiana
159,2017-06-16,2017-02-21,DallasCountyCommunityCollegeDistrict,1431 (1 in Indiana),Indiana
160,2017-01-30,2017-01-18,DardenRestaurants,268 (138 in Indiana),Indiana
161,2017-06-20,2017-03-30,"DavidTurrentine&Associates,Inc.",1948 (24 in Indiana),Indiana
162,2017-03-07,,DaytonaStateCollege,1917 (12 in Indiana),Indiana
163,2017-01-07,2017-01-07,"DBMGlobal,Inc.",5895 (7 in Indiana),Indiana
164,2017-03-06,2017-02-13,DeaconessHealthSystem-SecurityBreach,1 (1 in Indiana),Indiana
165,2017-06-30,2017-01-09,DeaconessHospital,5 (5 in Indiana),Indiana
166,2017-06-16,2017-01-24,DeaconessHospital,3 (3 in Indiana),Indiana
167,2017-06-01,2017-01-04,DeaconessHospital,3 (3 in Indiana),Indiana
168,2017-03-06,2017-02-13,DeaconessHospital,1 (1 in Indiana),Indiana
169,2017-03-02,2017-01-26,"DearbornMid-WestCompany,LLC",934 (126 in Indiana),Indiana
170,2017-07-31,2016-08-10,"DelawareNorthCompanies,Inc.",22201 (172 in Indiana),Indiana
171,2017-07-26,2017-05-23,"DelekUSHoldings,Inc.",27123 (50 in Indiana),Indiana
172,2017-05-04,2017-04-20,DeloitteTaxLLP,2 (2 in Indiana),Indiana
173,2017-04-14,2017-02-13,DeltaCareerEducationCorporation,162120 (180 in Indiana),Indiana
174,2017-08-16,2016-08-10,DenihanHospitality,20612 (249 in Indiana),Indiana
175,2017-02-08,2016-12-01,DenisonUniversity,Unknown (2 in Indiana),Indiana
176,2017-05-25,2013-10-06,DermatopathologyLaboratoryofCentralStates,87 (1 in Indiana),Indiana
177,2017-04-28,2017-01-14,DiamondInstituteforInfertilityandMenopause,14633 (1 in Indiana),Indiana
178,2017-01-27,2017-01-25,DistributionInternational,1133 (106 in Indiana),Indiana
179,2017-04-24,2017-03-24,"DonaldsonCompany,Inc.",4487 (668 in Indiana),Indiana
180,2017-02-14,2017-01-25,"DrivelineRetailMerchandising,Inc.",15878 (405 in Indiana),Indiana
181,2017-09-15,2017-08-18,E.&J.GalloWinery,7730 (12 in Indiana),Indiana
182,2017-03-27,2017-01-06,"EasyBreathe,Inc.",78759 (1588 in Indiana),Indiana
183,2017-08-17,2017-01-01,"EbelharWhitelead,PLLC",54 (2 in Indiana),Indiana
184,2017-04-18,2017-03-15,EdgewoodManagementCorp.,1873 (2 in Indiana),Indiana
185,2017-01-27,2017-01-20,"eHealthinsuranceServices,Inc.",1010 (1 in Indiana),Indiana
186,2017-05-09,2017-02-03,EJWelchCompany,138 (18 in Indiana),Indiana
187,2017-03-08,,"ElkayPlasticsCo.,Inc.",243 (1 in Indiana),Indiana
188,2017-07-05,2017-06-01,ElkhartCountyProsecutorsOffice,2 (2 in Indiana),Indiana
189,2017-03-01,2017-01-30,EllisPartnersinManagementSolutions,389 (5 in Indiana),Indiana
190,2017-03-24,2016-10-03,EmployIndy,2045 (2045 in Indiana),Indiana
191,2017-09-07,,EnlowandMinskyCPA,353 (11 in Indiana),Indiana
192,2017-03-09,2017-02-17,"EnterpriseLeasingCompanyofIndianapolis,LLC",14 (1 in Indiana),Indiana
193,2017-05-05,2016-08-23,"Equian,LLC",299 (63 in Indiana),Indiana
194,2017-09-07,2017-05-13,EquifaxInc,143 million (3.8 million in Indiana),Indiana
195,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
196,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
197,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
198,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
199,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
200,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
201,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
202,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
203,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
204,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
205,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
206,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
207,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
208,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
209,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
210,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
211,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
212,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
213,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
214,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
215,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
216,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
217,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
218,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
219,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
220,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
221,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
222,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
223,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
224,,,EquifaxIncorp.*,Unknown (Unknown in Indiana),Indiana
225,2016-12-22,2016-12-08,"eScreen,Inc.",1 (1 in Indiana),Indiana
226,2017-06-20,2017-05-26,EsembleHealthPartners,639 (1 in Indiana),Indiana
227,2017-09-01,2016-08-10,EvansHotels,2448 (52 in Indiana),Indiana
228,2017-02-15,2017-01-09,"EvansonAssetManagement,LLC",222 (2 in Indiana),Indiana
229,2017-04-10,2017-03-27,EvergreenTankSolutionsandWaterMovers,413 (1 in Indiana),Indiana
230,2017-08-15,2017-07-17,EversRobinson,286 (2 in Indiana),Indiana
231,2017-04-18,2017-03-15,ExamOne,1 (1 in Indiana),Indiana
232,2017-04-14,2017-01-24,ExamOne,1 (1 in Indiana),Indiana
233,2017-09-12,2017-07-05,ExamOne,1 (1 in Indiana),Indiana
234,2017-05-22,2017-05-05,ExamOne,1 (1 in Indiana),Indiana
235,2017-01-30,2016-12-16,ExamOne,1 (1 in Indiana),Indiana
236,2017-01-11,2016-11-25,ExeterFinanceCorp.,54 (1 in Indiana),Indiana
237,2017-04-28,2017-02-08,"ExtremeReach,Inc.",3800 (5 in Indiana),Indiana
238,2017-03-14,2017-02-04,"Faller,Kincheloe&Co.,PLC",3430 (5 in Indiana),Indiana
239,2017-02-17,2016-12-26,FamilyServicesRochester,17037 (26 in Indiana),Indiana
240,2017-06-19,2017-04-24,"FamilyTreeHealthClinic,P.A.",13402 (3 in Indiana),Indiana
241,2017-03-29,2016-11-30,FarmCreditMid-America,1 (1 in Indiana),Indiana
242,2017-09-21,2017-07-25,FarmersandMerchantsBank,10650 (4 in Indiana),Indiana
243,2017-05-26,2016-01-14,FastHealthCorporation,18301 (87 in Indiana),Indiana
244,2017-02-28,2017-01-02,FederalDirectTaxServices,258 (8 in Indiana),Indiana
245,2017-08-18,2017-05-23,FederalHomeLoanBankofIndianapolis,119 (84 in Indiana),Indiana
246,2017-06-08,2017-05-26,FidelityNationalFinancialInc,1 (1 in Indiana),Indiana
247,2017-05-04,2017-01-11,FidelityNationalFinancialInc,236 (1 in Indiana),Indiana
248,2017-09-06,2017-08-07,"FiduciaryManagement,Inc.",3055 (42 in Indiana),Indiana
249,2017-04-26,2017-03-13,FieldandMainBank,165 (25 in Indiana),Indiana
250,2017-04-07,2016-11-03,FirstNationalBankofPennsylvania,9358 (2 in Indiana),Indiana
251,2017-07-06,2016-11-29,FisherSpiegelKunkle&Gerber,292 (1 in Indiana),Indiana
252,2017-05-09,2016-06-28,FNBCBankandTrust,24 (1 in Indiana),Indiana
253,2017-03-30,2017-03-03,FoodSafetyNetServices,573 (1 in Indiana),Indiana
254,2017-01-31,2017-01-23,"FoodWarmingEquipmentCompany,Inc.",180 (1 in Indiana),Indiana
255,2017-05-04,2017-01-20,FranciscanHealthHammond,1 (1 in Indiana),Indiana
256,2017-06-29,2017-03-15,FranciscanHealthIndianapolis,1 (1 in Indiana),Indiana
257,2017-06-06,2017-05-22,FranciscanHealthIndianapolis,1 (1 in Indiana),Indiana
258,2017-08-16,2017-03-17,FranciscanHealthIndianapolis,1 (1 in Indiana),Indiana
259,2017-08-18,2017-05-22,FranciscanHealthIndianapolis,1 (1 in Indiana),Indiana
260,2017-06-22,2017-04-22,FranciscanHealthMichiganCity,1 (1 in Indiana),Indiana
261,2017-09-25,2017-08-28,FranciscanPhysicianNetwork,1 (1 in Indiana),Indiana
262,2017-05-31,2016-12-01,FranciscanPhysicianNetwork,3 (3 in Indiana),Indiana
263,2016-12-29,,FrederickCountyPublicSchools,905 (2 in Indiana),Indiana
264,2017-06-05,2017-03-07,"FreedomSmokes,Inc.",21957 (553 in Indiana),Indiana
265,2017-05-19,,FrontierAirlines,3605 (6 in Indiana),Indiana
266,2017-09-11,2017-05-12,FrontierCo-Op,1500 (25 in Indiana),Indiana
267,2017-05-31,2017-04-21,FrontlineEducation,53 (2 in Indiana),Indiana
268,2017-02-13,2017-02-10,"FroschInternationalTravel,Inc.",Unknown (2 in Indiana),Indiana
269,2017-03-09,2017-03-03,Frost&Sullivan,370 (1 in Indiana),Indiana
270,2017-08-21,2017-06-22,FSSA,1 (1 in Indiana),Indiana
271,2017-06-23,2017-06-23,FSSA,1 (1 in Indiana),Indiana
272,2017-08-24,2017-08-16,FSSA,1 (1 in Indiana),Indiana
273,2017-08-15,2017-08-09,FSSA,1 (1 in Indiana),Indiana
274,2017-09-18,2017-09-12,FSSA,1 (1 in Indiana),Indiana
275,2017-04-17,2017-03-30,FSSA-Breach Notification,1 (1 in Indiana),Indiana
276,2017-04-28,2017-04-26,FSSA-Breach Notification,1 (1 in Indiana),Indiana
277,2017-06-12,2017-06-09,FSSA-Breach Notification,1 (1 in Indiana),Indiana
278,2017-02-13,2017-02-07,FSSA-Breach Notification,1 (1 in Indiana),Indiana
279,2017-03-20,2017-03-08,FSSA-Breach Notification,1 (1 in Indiana),Indiana
280,2017-06-05,2016-08-10,"GameStop,Inc.",1338102 (27537 in Indiana),Indiana
281,2017-04-28,2017-03-28,"GannettCompany,Inc.",18100 (1538 in Indiana),Indiana
282,2017-02-20,2017-01-16,"Gardiner&AppelGroup,Inc.",1281 (2 in Indiana),Indiana
283,2017-01-11,,GatorCasesInc,Unknown (Unknown in Indiana),Indiana
284,2017-02-10,2017-02-01,"GenoceaBiosciences,Inc.",134 (1 in Indiana),Indiana
285,2017-05-08,2017-01-12,"GenpactInternational,Inc.",8517 (156 in Indiana),Indiana
286,2017-03-14,2017-01-25,GeokineticsInc.,709 (1 in Indiana),Indiana
287,2017-03-17,2017-03-08,"GetWellNetwork,Inc.",Unknown (1 in Indiana),Indiana
288,2017-03-28,2017-03-14,GlaxoSmithKline,36 (1 in Indiana),Indiana
289,2017-02-23,2016-10-25,"Goldberg,Miller&Rubin,PC",5700 (2 in Indiana),Indiana
290,2017-03-20,2016-09-01,"Goldenvoice,LLC",27000 (6 in Indiana),Indiana
291,2017-07-07,2017-03-08,"Golf & Ski Warehouse, Inc.",4176 (39 in Indiana),Indiana
292,2017-06-23,2017-03-22,"GolfTecEnterprises,LLC",22914 (127 in Indiana),Indiana
293,2017-06-29,2016-08-10,GoogleInc.,Unknown (6 in Indiana),Indiana
294,2017-04-15,,GoshenCommunitySchools,23 (23 in Indiana),Indiana
295,2017-04-13,2017-02-02,GPSHospitalityHoldingCompanyLLC,8814 (121 in Indiana),Indiana
296,2016-12-28,2016-07-12,"GraphikDimensions,Ltd.",14095 (181 in Indiana),Indiana
297,2017-07-19,2016-08-10,"GreatWolfResorts,Inc.",5000 (6 in Indiana),Indiana
298,2017-03-20,2017-02-19,"Gross,Puckey,Gruel&Roof,P.C.",130 (2 in Indiana),Indiana
299,2017-08-25,2017-05-16,"GTDistributors,Inc.",1287 (5 in Indiana),Indiana
300,2017-03-23,2017-01-13,HaanCraftsLLC,134 (31 in Indiana),Indiana
301,2017-03-13,2017-03-02,Haixia Zhang,Unknown (7 in Indiana),Indiana
302,2017-07-06,2016-08-10,HalekulaniCorporation,1528 (3 in Indiana),Indiana
303,2017-09-12,2017-08-14,HamptonInnAustin-RoundRock,3 (1 in Indiana),Indiana
304,2017-09-01,2017-07-05,Hand&UpperExtremityCentersdbaHandRehabilitationSpecialists,12806 (4 in Indiana),Indiana
305,2016-12-19,2016-10-17,HansenCochraneLtd.,1636 (25 in Indiana),Indiana
306,2017-07-07,2016-08-10,HardRockHotels&Casinos,Unknown (205 in Indiana),Indiana
307,2017-07-31,2016-08-10,"Harrah'sLasVegas,LLCd/b/aHarrah'sCasinoHotel,LasVegas",16 (1 in Indiana),Indiana
