,Data Stolen,Dates of Breach,Details,Name of Entity,Notice Provided to Consumers,Who's Affected,State Reported
10,"Name, address, date of birth, Social Security number, driver’s license number, payment card, and bank account numbers, medical record numbers, insurance, medical, treatment, and surgical information, diagnoses, lab results, medications, providers, and dates of service.","March 14, 2018 through April 3, 2018","On May 31, 2018, UnityPoint Health discovered a second phishing email attack this year that compromised its business email system. This attack may have resulted in unauthorized access to protected health information and other personal information for some patients. Upon learning of this attack, UnityPoint Health informed law enforcement agencies and launched an investigation to determine the size and scope of the attack, as well as the number of people potentially impacted.On July 30, 2018, UnityPoint Health notified all impacted individuals by letter of the incident to their last known address.UnityPoint Health will offer credit-monitoring services for one year to individuals whose Social Security number and/or driver’s license number were included in the compromised email accounts. UnityPoint Health has established a dedicated and confidential toll-free response line at (888) 266-9285 to answer additional questions.  If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",UnityPoint Health,"July 30, 2018","Approximately 1.4 million individuals affected, an unknown number of these individuals are Wisconsin residents.",Wisconsin
11,"Name, address, telephone number, email address, and Social Security number.","April 20, 2018 through May 22, 2018","On May 22, 2018, ComplyRight, Inc. became aware of a potential issue with their website. Upon learning of this issue, ComplyRight, Inc. disabled the platform and remediated the issue on the website. ComplyRight, Inc. initiated an investigation and concluded that there was unauthorized access to their website, which occurred between April 20, 2018 and May 22, 2018. The forensic investigation determined that personally identifiable information was accessed and/or viewed on the website. On July 13, 2018, ComplyRight, Inc. notified affected individuals by mail and is providing credit monitoring services for 12 months through TransUnion. ComplyRight, Inc. has set up a dedicated response line at 1-844-299-7772 that is staffed Monday through Friday 9:00am to 9:00pm (EST) If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","ComplyRight, Inc.","July 13, 2018","662,000 including 12,155 Wisconsin residents.",Wisconsin
12,First and last names; full addresses; phone numbers; email addresses; birthdays (not including year); and debit and credit card numbers with expiration dates.,"April 26, 2018","On June 11, 2018, Macy’s became aware of suspicious login activities related to Macys.com customer profiles. Macy’s believes that an unauthorized third party, from April 26, 2018, through June 12, 2018, used valid customer usernames and passwords to login into customer profiles. Macy’s believes the third party obtained these usernames and passwords from a source other than Macy’s. On June 12, 2018, Macy’s blocked profiles with suspicious logins and purged all payment card data. On July 3, 2018, Macys notified affected customers by mail of this incident and is providing credit monitoring services to affected individuals for 12 months through www.allclearid.com. Macy’s Support Agents can be contacted at 1-855-861-4018 to answer questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Macy's Inc.,"July 3, 2018",Unknown – it is undetermined at this time the number of individuals affected by this breach.,Wisconsin
13,"First name, last name, Social Security number, address, date of birth, phone number, email address, health insurance information, diagnoses, prescription information, and client identification number.","January 14, 2018","On April 24, 2018, Manitowoc County became aware of unauthorized access to their email system. Manitowoc County suspects that a phishing attack on January 14, 2018, allowed an unauthorized third party access to county emails. Some of these emails contained personal protected health information related to treatment services. Upon becoming aware of the incident, Manitowoc County immediately blocked access to the third party and initiated an investigation to determine what information had been disclosed. Manitowoc County sent individual notices to all affected individuals that had updated contact information on file. An additional notice was posted to their website at http://www.co.manitowoc.wi.us/media/6336/notice-of-data-breach.pdf. Manitowoc County provided credit-monitoring services for one year to individuals whose Social Security number was included in the compromised emails. For further information and assistance, please contact the Manitowoc County Corporation Counsel, Peter Conrad, at (888) 811-5636 between 9:00 a.m. - 4:00 p.m. CT If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Manitowoc County, WI","June 22, 2018",Approximately 450 Wisconsin residents.,Wisconsin
14,"Names, addresses, and Social Security numbers.",First week of May 2018,"On May 7, 2018, the Educational Employees’ Supplementary Retirement system (ERFC) became aware of a data security incident that occurred in connection with the mailing of ERFC’s Spring 2018 Newsletters to certain retirees. The retiree’s Social Security numbers were included in the mailing label above the name and address. Upon learning of the security incident, ERFC confirmed that the printing company, Master Print., destroyed all documents containing Social Security numbers. ERFC notified affected individuals by mail and has provided credit-monitoring services for one year through Experian IdentityWorks. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Educational Employees' Supplementary Retirement System of Fairfax County,"June 20, 2018","3,332 affected individuals including 9 Wisconsin residents.",Wisconsin
15,"Name, address, date of birth, Social Security number, and for some, limited health information.","April 8, 2018","On April 8, 2018, RISE Wisconsin discovered that they had been the target of a ransomware attack. RISE Wisconsin immediately took action and took their systems offline. RISE Wisconsin engaged independent computer forensics experts to determine how the incident occurred and if an unauthorized intruder had accessed information. Although the investigation did not identify any evidence of access to anyone’s information, RISE Wisconsin could not rule out that personally identifiable information may have been compromised. RISE Wisconsin has notified law enforcement and is cooperating with their investigation. On June 7, 2018, RISE Wisconsin mailed letters to individuals potentially impacted by this event. RISE Wisconsin is offering identity protection services through Kroll to potentially impacted individuals at no cost. RISE Wisconsin has established a toll-free call center to answer questions about the incident and related concerns. The call center is available Monday through Friday from 8:00 AM to 5:00 PM, Central Time at 1-800-733-9212. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",RISE Wisconsin Inc.,"June 7, 2018","3,731 affected individuals, according to RISE Wisconsin the majority of these individuals are Wisconsin residents.",Wisconsin
16,"Names, driver's license numbers, and Social Security numbers.","March 23, 2018","On March 28, 2018, Access Group Education Lending became aware of a data breach that occurred on March 23, 2018 when one of its vendors sent out files containing personally identifiable information to another business. Access Group Education Lending is assured that the vendor who received the files deleted them and did not retain copies. Access Group Education Lending notified those individuals affected by letter, and is offering free credit monitoring services for one year. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Access Group Education Lending,April 2018,"Approximately 16,500 borrowers (unknown if any Wisconsin residents are affected).",Wisconsin
17,"Social Security Numbers, dates of birth, medical record numbers, treatment & surgical information, insurance, and other financial information.","November 1, 2017 through February 7, 2018","On February 15, 2018, UnityPoint Health discovered their email system was the victim of a phishing attack that compromised some employee email accounts. Upon learning of the incident, UnityPoint Health promptly took action to secure the impacted email accounts, changed passwords, and engaged external cybersecurity professionals to analyze what information might have been contained in the impacted accounts. On April 16, 2018, UnityPoint Health notified all impacted individuals by letter of the incident. UnityPoint Health has established a dedicated and confidential toll-free response line at 855-331-3612 to answer additional questions.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",UnityPoint Health,"April 16, 2018","Approximately 16,000 individuals affected, an unknown number of these individuals are Wisconsin residents.",Wisconsin
18,Payment card information.,"September 27 - October 12, 2017","Best Buy announced that in late March a third-party vendor had notified them of an intrusion that occurred in the vendor’s system. The third-party vendor, [24]7.ai Inc, provides phone and computer chat support for Best Buy. Malicious code was inserted into the third-party vendor’s system on September 26, 2017. The third-party vendor discovered and contained the code on October 17, 2017. The code may have allowed unauthorized users to gain access to payment information of consumers who shopped online during that time, regardless of whether or not the consumers used the computer chat support. Best Buy is collaborating with their third-party vendor and have notified law enforcement. They are working to identify and notify affected consumers. Free credit monitoring services will be available to the impacted individuals. Best Buy recommends consumers review their payment card account statements closely, and contact their card issuer if they notice any fraudulent charges. Consumers who have further questions can contact at 247incident@bestbuy.com.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Best Buy Co., Inc.","April 5, 2018","An unknown number of Best Buy customers, whether or not they used the computer chat support.",Wisconsin
19,"Name, address, payment card number, CVV number, and expiration date.","September 26, 2017 - October 12, 2017","On March 28, Delta was notified by [24]7.ai, a company that provides online chat services for Delta and many other companies, that [24]7.ai had been involved in a cyber-incident. The incident occurred at [24]7.ai from Sept. 26 to Oct. 12, 2017. During this time certain customer payment information for [24]7.ai clients, including Delta, may have been accessed. Upon being notified of [24]7.ai’s incident, Delta immediately began working with [24]7.ai to understand the impact of the incident and has since confirmed that the incident was resolved by [24]7.ai last October. Delta has established the following website to address customer questions and concerns: www.delta.com/response Delta has partnered with AllClear ID to offer a suite of credit monitoring services to those who may be impacted, for two years, starting on April 7, 2018. Delta customers who believe they made a purchase on the delta.com desktop platform between Sept. 26 and Oct. 12, 2017 should visit delta.allclearid.com to enroll in the free protection services being offered. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Delta Airlines and [24]7.ai,"April 4, 2018",Unknown number of affected individuals.,Wisconsin
20,Payment card information.,"September 27 - October 12, 2017","Sears Holdings Corp announced that in late March a third-party vendor had notified them of an intrusion that occurred in the vendor’s system. The third-party vendor, [24]7.ai Inc, provides phone and computer chat support for Sears and Kmart. Malicious code was inserted into the third-party vendor’s system on September 26, 2017. The third-party vendor discovered and contained the code on October 17, 2017. The code may have allowed unauthorized users to gain access to payment information of consumers who shopped online during that time, regardless of whether or not the consumers used the computer chat support. Sears sent emails to affected consumers on April 6, 2017, and will follow up with a notification through the mail. Free credit monitoring services will be available to the impacted individuals. Consumers who have further questions can find information at Searsholdings.com/update, or by calling toll-free at 888-488-5978. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Sears Holding Corp.,"April 4, 2018","Less than 100,000 customers who completed an online order on Sears.com or Kmart.com.",Wisconsin
21,"Laptop which may have contained names, addresses, dates of birth, Medicaid numbers, financial information, and Social Security numbers.","February 5, 2018","On February 5, 2018, a laptop with a workbag was stolen from a consultant for The Management Group. The Management Group is a business associate of the Wisconsin Department of Health Services and serves as a consultant agency for the IRIS Program. The laptop may have contained personal information for IRIS Program participants. While the laptop was encrypted to protect the information, the password to the laptop was in the stolen workbag. Affected participants will be provided one year of complimentary identity theft protection services. Participants who have additional questions can call (844) 864-8987 from 8 AM to 5 PM, Monday through Friday, or email ComplianceGuide@tmgwisconsin.com.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","The Management Group working as a consultant for the Wisconsin Department of Health Services IRIS (Include, Respect, I Self-Direct) Program","April 3, 2018",779 IRIS Program participants.,Wisconsin
22,Payment card data,Unknown,"Hudson’s Bay Company says that payment card data may have been affected by a security incident.Authorities and payment processors were notified about the incident. They are working with a data security investigators to obtain the information to accurately notify their customers of what information was affected. They will offer those customers impacted free identity theft protection services.Hudson’s Bay Company is establishing a dedicated call center that will start on April 4, 2018. The call center’s phone number will be (855) 270-9187, and it will be staffed from 8 AM to 8 PM Central time, Monday-Saturday.Individuals should review their statements and notify their financial institutions if they see unauthorized charges.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Hudson's Bay Company dba Saks Fifth Avenue, Saks OFF 5TH, and Lord & Taylor","April 1, 2018","Consumers who used credit or debit cards to make purchases at certain Saks Fifth Avenue, Saks OFF 5TH, and Lord & Taylor stores in North America. There are no indications that it affected their e-commerce platform.",Wisconsin
23,"Usernames, email addresses, and hashed passwords",Late February 2018,"On Thursday, March 25, 2018, Under Armour Inc dba MyFitnessPal discovered an unauthorized user acquired data associated with user accounts including user names, email addresses, and hashed passwords.Under Armour Inc is conducting an ongoing investigation to determine the extent of the issue. They are working with a data security firm, and cooperating with law enforcement. Under Armour Inc is emailing affected users information on how to protect their data, and requiring affected users to change their passwords.Consumers can visit https://content.myfitnesspal.com/security-information/notice.html for the most up to date information. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",UnderArmour dba MyFitnessPal,"March 29, 2018",Approximately 150 million user accounts.,Wisconsin
24,"Name, home address and Social Security number.","February 1, 2018","On Thursday, February 1, 2018, the UW-Superior Alumni Association sent out a Mississippi River Cruise brochure to its members. On February 5, 2018, the UW-Superior Alumni Association discovered that the ID number for our alumni who graduated during a certain time might have been the same as the student ID number (social security number) used while in attendance at UW-Superior. The personal information that may have been viewable on the brochure included first and last names, home addresses and social security numbers. After learning of this situation, UW-Superior Alumni Association began cleaning the alumni and friend database and replacing ""old"" ID numbers, and worked with their travel vendor to delete all mailing data used for the brochure. UW-Superior Alumni Association is also providing one year of complimentary identify theft protection and credit monitoring services. Any additional questions regarding the breach can be directed to UW-Superior Alumni Association at 715-394-8452.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",UW-Superior Alumni Association,"February 22, 2018","1,758 Wisconsin residents who were members of the UW-Superior Alumni Association.",Wisconsin
25,Payment card number and CVV.,"Between October 3rd and December 22nd, 2017","On Friday January 5th, 2018 RBC-a travel rewards redemption platform operated by Travelocity, observed increased fraudulent payment activity on RBC-issued cards that were processed on the platform. The unauthorized access of the platform resulted in the exposure of payment card information and CVV numbers. Upon learning of the incident, Travelocity took immediate steps to investigate with the assistance of a leading cybersecurity firm, contacted law enforcement and payment card processors and enhanced the security of the affected platform. Travelocity has established a hotline at 1-800-204-4048 to address additional questions or concerns about the incident.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Travelocity,"January 31, 2018",Three Wisconsin residents who used the travel rewards redemption program were affected by the breach.,Wisconsin
26,"Names, Social Security numbers, dates of birth, positions, grades, duty stations, alien registration numbers, email addresses, phone numbers and addresses.","May 10, 2017","On Wednesday, May 10, 2017, as part of an ongoing criminal investigation conducted by The Department of Homeland Security (DHS) Office of the Inspector General (OIG) and the U.S. Attorney’s Office, DHS OIG discovered an unauthorized copy of its investigative case management system in the possession of a former DHS OIG employee. The compromised information included names, Social Security numbers, dates of birth, positions, grades, duty stations, alien registration numbers, email addresses, phone numbers and addresses contained in the DHS OIG case management system. DHS is working to protect the information of affected employees and prevent similar incidents from occurring in the future. DHS OIG has implemented a number of security precautions to further secure the DHS OIG network, and is providing AllClear ID protection services to affected individuals for 18 months at no cost. Affected individuals may contact AllClear ID at (855) 260-2767 and a dedicated investigator will assist with any questions or issues. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",The Department of Homeland Security,"December 28, 2017","Approximately 246,167 current and former federal government employees who were employed directly by DHS during 2014 as well as subjects, witnesses and complainants who were both DHS employees and non-DHS employees.The number of Wisconsin residents who were impacted is unknown.",Wisconsin
27,"Names, addresses, dates of birth and drivers license numbers.","November 20, 2017","On Monday, November 20, 2017, the Village of Nashotah’s computer system was infected with Ransomware, which may have exposed the personal information of village residents listed on the voter registration rolls. The voter registration rolls include the voter’s name, address, date of birth and driver’s license number. The voter registration rolls do not include the voter’s social security numbers or any credit card information. Upon learning of the incident, the Village of Nashotah immediately notified law enforcement officials who launched a criminal investigation, and computer specialists to halt further damage. The Village of Nashotah also notified the three nationwide consumer reporting agencies. The Village is working with two IT firms to develop additional measures that can help prevent this type of incident from happening again. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Village of Nashotah,"December 8, 2017",Between 980 and 1000 Wisconsin residents who were registered voters with the Village of Nashotah.,Wisconsin
28,"Patients’ names, home addresses, dates of birth, medical record numbers, health insurance information, date(s) of service, surgical information, diagnosis/condition, and/or treatment information. A limited number of Social Security numbers and bank account information.","Between July 21 and July 28, 2017","Between July 21 and July 28, 2017, the Medical College of Wisconsin (MCW) learned that a small number of faculty and staff were victims of a spear phishing attack to their email system. An unauthorized third party accessed a limited number of email accounts that contained patients’ protected health information. The compromised information included patients’ names, home addresses, dates of birth, medical record numbers, health insurance information, date(s) of service, surgical information, diagnosis/condition, and/or treatment information. Social Security numbers and bank account information for a very small number of patients were also contained within the affected email accounts. Upon discovering the issue, MCW promptly disabled the impacted email accounts, required password changes, and commenced an investigation with a computer forensic firm to analyze the extent of any compromise to the email accounts and the security of the emails and attachments contained within them. MCW is offering credit monitoring and identity theft restoration services to those individuals whose Social Security numbers were potentially compromised. The Medical College of Wisconsin has established a call center for patients at 1-844-666-7416, to answer additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Medical College of Wisconsin,"November 17, 2017","7,289 Wisconsin residents who were patients of the Medical College of Wisconsin during the time of the breach.",Wisconsin
29,"Names, addresses and Social Security numbers.","October 18, 2017","On Wednesday, October 18, 2017, Saris discovered that they had become the target of a phishing email campaign and that an employee had clicked on phishing emails and entered their credentials. An unknown actor gained access to an employee’s email account containing names, addresses and Social Security numbers. Upon learning of the incident, Saris immediately took steps to secure the employee’s email account and launched an in-depth forensic investigation to determine whether any sensitive information was accessed or acquired. Additionally, Saris is providing free credit monitoring through Kroll to all of those affected by the breach. Saris has established a dedicated hotline though Kroll at 1-866-599-4455 between 9:00 am and 6:00 pm ET, Monday through Friday, excluding major holidays, to answer additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Saris Cycling Group,"November 15, 2017",An unknown number of Wisconsin residents who are current or former employees of Saris Cycling Group.,Wisconsin
30,"Names, phone numbers, email addresses and, in some cases, driver license numbers.",October 2016,"Uber disclosed on Tuesday, November 21st that hackers had stolen 57 million driver and rider accounts. The hackers stole information from an Amazon Web Services account that housed data about the company’s riders and drivers. The driver’s license numbers of 2,703 Uber employees in Wisconsin, were compromised. Additionally names, phone numbers and email addresses of Uber clients were compromised. At the time of the incident, Uber took immediate steps to secure the data and shut down further unauthorized access by the individuals. Uber also implemented security measures to restrict access to and strengthen controls on their cloud-based storage accounts. Uber has hired the cybersecurity firm, Mandiant, to investigate the hack. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Uber Technologies Inc.,"November 22, 2017","2,703 Wisconsin residents who were employees of Uber during the time of the breach.",Wisconsin
