,Link to PDF,Name of Entity,PDF text (ALL),Reported Date,State Reported
17,https://www.iowaattorneygeneral.gov/media/cms/Target_Corporation_E7C6E454D2E71.pdf,Target Corporation,"b'a message from CEO Gregg Steinhafel about Target\xe2\x80\x99s\npayment card issues\n\ncorporate.target.com /article/2013/12/important-notice-unauthorized-access-to-payment-ca\n\nDecember 20, 2013\n\nDear Target Guest,\n\nAs you have likely heard by now, Target experienced unauthorized access to payment card data from U.S. Target\nstores. We take this crime seriously. It was a crime against Target, our team members and most importantly you -\nour valued guest.\n\nWe understand that a situation like this creates stress and anxiety about the safety of your payment card data at\nTarget.  Our brand has been built on a 50-year foundation of trust with our guests, and we want to assure you that\nthe cause of this issue has been addressed and you can shop with confidence at Target.\n\nWe want you to know a few important things:\n\nThe unauthorized access took place in U.S. Target stores between Nov. 27 and Dec. 15, 2013.  Canadian\nstores and target.com were not affected. \nEven if you shopped at Target during this time frame, it doesn\xe2\x80\x99t mean you are a victim of fraud. In fact, in\nother similar situations, there are typically low levels of actual fraud.\nThere is no indication that PIN numbers have been compromised on affected bank issued PIN debit cards or\nTarget debit cards. Someone cannot visit an ATM with a fraudulent debit card and withdraw cash.\nYou will not be responsible for fraudulent charges\xe2\x80\x94either your bank or Target have that responsibility.\nWe\xe2\x80\x99re working as fast as we can to get you the information you need.  Our guests are always the first priority.\nFor extra assurance, we will offer free credit monitoring services for everyone impacted. We\xe2\x80\x99ll be in touch with\nyou soon on how and where to access the service.\n\nPlease read the full notice below. And over the coming days and weeks we will be relying on target.com,\nabullseyeview.com, corporate.target.com and our various social channels to answer questions and keep you up to\ndate.\n\nThank you for your patience, understanding and loyalty to Target!\n\nGregg Steinhafel Chairman, President and CEO, Target\n\n \n\nThe message below was posted from Target on Dec. 19, 2013\n\nWe wanted to make you aware of unauthorized access to Target payment card data. The unauthorized access may\nimpact guests who made credit or debit card purchases in our U.S. stores from Nov. 27 to Dec. 15, 2013. Your trust\nis a top priority for Target, and we deeply regret the inconvenience this may cause. The privacy and protection of our\nguests\xe2\x80\x99 information is a matter we take very seriously and we have worked swiftly to resolve the incident.\n\nWe began investigating the incident as soon as we learned of it. We have determined that the information involved\nin this incident included customer name, credit or debit card number, and the card\xe2\x80\x99s expiration date and CVV.\n\n1/5\n\n\x0cWe are partnering with a leading third-party forensics firm to conduct a thorough investigation of the incident and to\nexamine additional measures we can take that would be designed to help prevent incidents of this kind in the future.\nAdditionally, Target alerted authorities and financial institutions immediately after we discovered and confirmed the\nunauthorized access, and we are putting our full resources behind these efforts.\n\nWe recommend that you closely review the information provided in this letter for some steps that you may take to\nprotect yourself against potential misuse of your credit and debit information. You should remain vigilant for\nincidents of fraud and identity theft by regularly reviewing your account statements and monitoring free credit\nreports. If you discover any suspicious or unusual activity on your accounts or suspect fraud, be sure to report it\nimmediately to your financial institutions. In addition, you may contact the Federal Trade Commission (\xe2\x80\x9cFTC\xe2\x80\x9d) or law\nenforcement to report incidents of identity theft or to learn about steps you can take to protect yourself from identity\ntheft. To learn more, you can go to the FTC\xe2\x80\x99s Web site, at www.consumer.gov/idtheft, or call the FTC, at (877)\nIDTHEFT (438-4338) or write to Federal Trade Commission, Consumer Response Center, 600 Pennsylvania\nAvenue, NW, Washington, DC 20580.\n\nYou may also periodically obtain credit reports from each nationwide credit reporting agency.  If you discover\ninformation on your credit report arising from a fraudulent transaction, you should request that the credit reporting\nagency delete that information from your credit report file. In addition, under federal law, you are entitled to one free\ncopy of your credit report every 12 months from each of the three nationwide credit reporting agencies. You may\nobtain a free copy of your credit report by going to www.AnnualCreditReport.com or by calling (877) 322-8228. You\nmay contact the nationwide credit reporting agencies at:\n\nEquifax\n(800) 525-6285\nP.O. Box 740241\nAtlanta, GA 30374-0241\nwww.equifax.com\n\nExperian\n(888) 397-3742\nP.O. Box 9532\nAllen, TX 75013\nwww.experian.com\n\nTransUnion\n(800) 680-7289\nFraud Victim Assistance Division\nP.O. Box 6790\nFullerton, CA 92834-6790\nwww.transunion.com\n\nIn addition, you may obtain information from the FTC and the credit reporting agencies about fraud alerts and\nsecurity freezes. You can add a fraud alert to your credit report file to help protect your credit information. A fraud\nalert can make it more difficult for someone to get credit in your name because it tells creditors to follow certain\nprocedures to protect you, but it also may delay your ability to obtain credit. You may place a fraud alert in your file\nby calling just one of the three nationwide credit reporting agencies listed above. As soon as that agency processes\nyour fraud alert, it will notify the other two agencies, which then must also place fraud alerts in your file. In addition,\nyou can contact the nationwide credit reporting agencies regarding if and how you may place a security freeze on\nyour credit report to prohibit a credit reporting agency from releasing information from your credit report without your\nprior written authorization.\n\nAgain, we want to stress that we regret any inconvenience or concern this incident may cause you. Be assured that\n\n2/5\n\n\x0cwe place a top priority on protecting the security of our guests\xe2\x80\x99 personal information. Please do not hesitate to\ncontact us at 866-852-8680 or visit Target\xe2\x80\x99s website if you have any questions or concerns. If you used a non-Target\ncredit or debit card at Target between Nov. 27 and Dec. 15 and have questions or concerns about activity on your\ncard, please contact the issuing bank by calling the number on the back of your card.\n\nIF YOU ARE AN IOWA RESIDENT:  You may contact local law enforcement or the Iowa Attorney General\xe2\x80\x99s Office to\nreport suspected incidents of identity theft. You can contact the Iowa Attorney General at:\n\nOffice of the Attorney General\n1305 E. Walnut Street\nDes Moines, IA 50319\n(515) 281-5164\nhttp://www.iowaattorneygeneral.gov/\n\nIF YOU ARE A MARYLAND RESIDENT:  You may obtain information about avoiding identity theft from the FTC or\nthe Maryland Attorney General\xe2\x80\x99s Office. These offices can be reached at:\n\nFederal Trade Commission\nConsumer Response Center\n600 Pennsylvania Avenue, NW\nWashington, DC 20580\n(877) IDTHEFT (438-4338)\nhttp://www.ftc.gov/idtheft/\n\nOffice of the Attorney General\nConsumer Protection Division\n200 St. Paul Place\nBaltimore, MD 21202\n(888) 743-0023\nwww.oag.state.md.us\n\nIF YOU ARE A NORTH CAROLINA RESIDENT:  You may obtain information about preventing identity theft from the\nFTC or the North Carolina Attorney General\xe2\x80\x99s Office. These offices can be reached at:\n\nFederal Trade Commission\nConsumer Response Center\n600 Pennsylvania Avenue, NW\nWashington, DC 20580\n(877) IDTHEFT (438-4338)\nwww.consumer.gov/idtheft\n\nNorth Carolina Department of Justice\nAttorney General Roy Cooper\n9001 Mail Service Center\nRaleigh, NC 27699-9001\n(877) 566-7226\nhttp://www.ncdoj.com\n\nIF YOU ARE A MASSACHUSETTS RESIDENT:   Under Massachusetts law, you have the right to obtain a police\nreport in regard to this incident.  If you are the victim of identity theft, you also have the right to file a police report\nand obtain a copy of it.\n\nMassachusetts law also allows consumers to place a security freeze on their credit reports. A security freeze\n\n3/5\n\n\x0cprohibits a credit reporting agency from releasing any information from a consumer\xe2\x80\x99s credit report without written\nauthorization. However, please be aware that placing a security freeze on your credit report may delay, interfere\nwith, or prevent the timely approval of any requests you make for new loans, mortgages, employment, housing or\nother services.\n\nIf you have been a victim of identity theft and you provide the credit reporting agency with a valid police report, it\ncannot charge you to place, lift or remove a security freeze. In all other cases, a credit reporting agency may charge\nyou up to $5.00 each to place, temporarily lift, or permanently remove a security freeze. To place a security freeze\non your credit report, you must send a written request to each of the three major consumer reporting agencies listed\nabove.\n\nIn order to request a security freeze, you will need to provide the following information:\n\n1.  Your full name (including middle initial as well as Jr., Sr., II, III, etc.);\n\n2.  Social Security number;\n\n3.  Date of birth;\n\n4.  If you have moved in the past five (5) years, the addresses where you have lived over the prior five years;\n\n5.  Proof of current address (e.g., a current utility bill or telephone bill);\n\n6.  A legible photocopy of a government issued identification card (e.g., state driver\xe2\x80\x99s license or ID card or\n\nmilitary identification);\n\n7.  If you are a victim of identity theft, a copy of either the police report, investigative report, or complaint to a law\n\nenforcement agency concerning identity theft;\n\n8.  If you are not a victim of identity theft, payment by check, money order, or credit card (Visa, MasterCard,\n\nAmerican Express or Discover only). Do not send cash through the mail.\n\nThe credit reporting agencies have three (3) business days after receiving your request to place a security freeze on\nyour credit report. The credit reporting agencies must also send written confirmation to you within five (5) business\ndays and provide you with a unique personal identification number (PIN) or password, or both that can be used by\nyou to authorize the removal or lifting of the security freeze.\n\nTo lift the security freeze in order to allow a specific entity or individual access to your credit report, you must call or\nsend a written request to the credit reporting agencies by mail and include proper identification (name, address, and\nSocial Security number) and the PIN number or password provided to you when you placed the security freeze, as\nwell as the identities of those entities or individuals you would like to receive your credit report or the specific period\nof time you want the credit report available. The credit reporting agencies have three (3) business days after\nreceiving your request to lift the security freeze for those identified entities or for the specified period of time.\n\nTo remove the security freeze, you must send a written request to each of the three credit reporting agencies by mail\nand include proper identification (name, address, and Social Security number) and the PIN number or password\nprovided to you when you placed the security freeze. The credit reporting agencies have three (3) business days\nafter receiving your request to remove the security freeze.\n\nFAQ\nVisit the Payment Card Issue FAQ for more answers to commonly asked questions.\n\nDon\xe2\x80\x99t miss out on the latest Target news and behind-the-scenes happenings! Subscribe to our bi weekly newsletter\nand get the top stories from A Bullseye View delivered straight to your inbox!\n\n4/5\n\n\x0c5/5\n\n\x0c'",2013,Iowa
18,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_TerraCom_Wireless_63A463035FD2D.pdf,TerraCom Wireless,"b'Law Office of Mark C. Del Bianco\n\n3929 Washington Street\nKensington, MD 20895\nPh/fax 301.933.7216\n\nmark@markdelbianco.com\n\nMay 10, 2013\n\nIowa Attorney General\nConsumer Protection Division\nAttn: Sue Kerr\n1305 E. Walnut Street\nDes Moines, IA 50319\n\nRe: Notification of Data Breach\n\nDear Ms. Kerr:\n\nThis letter is being sent on behalf of TerraCom, Inc. (\xe2\x80\x9cTerraCom\xe2\x80\x9d).  It follows up on our \nconversation and emails earlier this week.  Pursuant to the Iowa Open Records Act,  Iowa Code \n\xc2\xa7 22.7 (2012),  TerraCom requests confidential treatment for the entirety of the information \nprovided in this letter.  This letter qualifies as a \xe2\x80\x9cConfidential Record\xe2\x80\x9d as that term is defined \nunder several subsections of \xc2\xa7 22.7 of the Iowa Code. The information in this letter qualifies as a \n\xe2\x80\x9ctrade secret\xe2\x80\x9d as that term is defined in \xc2\xa7 22.7(3)(a) of the Iowa Code.  Moreover, this letter itself \nconstitutes a \xe2\x80\x9creport[] to governmental agencies which, if released, would give advantage to \ncompetitors and serve no public purpose.\xe2\x80\x9d  See Iowa Code \xc2\xa7 22.7(6).  This last section is \nespecially applicable to this letter, and the information contained herein, because TerraCom is \nproviding this information as part of our request for \xe2\x80\x9cconsultation with relevant . . . state, or local \nlaw enforcement agencies\xe2\x80\x9d pursuant to Iowa Code \xc2\xa7 715C.2(6) to confirm our conclusion that \nIowa consumers will not be harmed by the data breach we discuss herein.  Therefore, \nTerraComalso requests that at this time the information not be made available for public \ninspection or otherwise disclosed outside the agency staff with a need to know.\n\nOn April 26, 2013,TerraComlearned that it wasthe victim of a security breach involving \nunauthorized access to personal data by an investigative reporter at the Scripps Howard news \norganization.  Thedata was stored on the computer serversof TerraCom\xe2\x80\x99s IT contractor, \nCallCenters India, Inc. d/b/a VCare Corporation (\xe2\x80\x9cVCare\xe2\x80\x9d) and belonged to applicants seeking \nenrollment in the federal Lifeline telephone program administered by the Federal \nCommunications Commission (FCC). \n\n1\n\n\x0cThe information accessed included names, addresses, social security numbers, and copies of tax \ninformation and other government forms thatTerraComis required by law to obtain and to use to \ndetermine applicant eligibility for the Lifeline program.\n\nUpon learning on April 26 that the computer servers were breached, TerraCominitiated \nimmediate remedial action to secure and protect the compromised data files and further \nsafeguard the personal data of applicants from future attacks by hackers.  TerraCom\nimplemented passwords and additional security measures to restrict access by unauthorized \npersons.  Since then, TerraCom has taken the following additional steps: \n\nRestricted access to applications to employees of TerraCom and other authorized \nindividuals.\n\nAssigned unique usernames and passwords to each application file to prevent \nunauthorized access.\n\nImplemented a session time out process where application information becomes \nunavailable after 15 minutes of viewing.\n\nFrom a longer term perspective, the TerraCom will take the following steps:\n\nEngaging a security expert in Information Technology systems to review and analyze the \nsystem; and \n\nHiring additional in-house security officers to perform regular security audits.\n\nOur initial investigation revealed that persons at various IP addresses associated with Scripps \nHoward gained unauthorized access and downloaded files related to over 150,000\nindividuals.VCare\xe2\x80\x99s computer logs show that approximately 1,683 are residents of Iowa. The \nactual number may be higher than this figure; VCare\xe2\x80\x99s logs only go back to late March, so we \ncannot tell whether Scripps Howard downloaded any applicant files prior to that time.  We have \ncontacted Scripps Howard\xe2\x80\x99s legal counsel.  He has refused to tell us the number of files his \norganization downloaded, but he has pledged that they will not reveal the personal information \nof the affected TerraCom applicants to any third parties.\n\nWe delayed providing this information in order to conduct our investigation and because we \nhadcontacted the FCCto attempt to obtain a decision from the agencyas to whether certain of the \ninformation disclosed may constitute Customer Proprietary Network Information (CPNI).  If so, \nthen federal regulations \xe2\x80\x93 47 C.F.R.\xc2\xa764.2011(b)(1) \xe2\x80\x93 would require us to notify both the FBI and \nthe U.S. Secret Service of the CPNI breach and to wait seven days before providing public notice \nof the breach to the affected individuals.  On May 8, it became clear that the FCC was not going \n\n2\n\n\x0cto provide a definitive answer, so TerraCom is proceeding with notifications to state agencies \nand, where appropriate, individuals.\n\nTo our knowledge, no evidence exists that the breach was a result of a malicious attack on \nTerraCom\xe2\x80\x99s computer systems.  More importantly, given the assurances from Scripps Howard\xe2\x80\x99s \nlegal counsel, we have concluded that no identity theft or other harm has occurred or is likely to \noccur in the future to an applicant as a result of the breach by Scripps Howard.\n\nWhile we are still in the process of determining the full extent of the breach,our investigation has \nalso revealed that the records of a few hundred individuals were accessed one or two at a time \nfrom IP addresses whose owners we cannot confirm at this time.  Three of those individuals \nwhose records were individually accessed were residents ofIowa.\n\nWe will of course be providing notice of the possible breach to those three persons whose \nrecords were individually accessed.  To that end, I am attaching a copy of our proposed notice \nfor your review.  We anticipate sending it to the affected individuals by mail early next week, so \nplease advise me immediately of any changes your office believes are necessary.  We will also \nprovide these applicants whose personal information was put at risk by unidentified third parties \nwith instructions and the opportunity to enroll in a creditbureau monitoring service at \nTerraCom\xe2\x80\x99s expense and at no cost to them. TerraCom will also notify the national credit \nreporting agencies of the breach.\n\nTo assist the applicants whose personal information was accessed, TerraCom has set up a toll-\nfree number (1-855-297-0243) for them to call for information about the breach and about what \nthey should do.\n\nWe have reviewed the applicable Iowa statute, Iowa Code \xc2\xa7 715C.1.  It is our conclusion that \nTerraComisnot required to provide affected Iowa residents with notice of the breach by Scripps \nHoward because ""after an appropriate investigation,\xe2\x80\x9d TerraCom has \xe2\x80\x9cdetermined that no \nreasonable likelihood of financial harm to the consumers whose personal information has been \nacquired has resulted or will result from the breach.\xe2\x80\x9d  Pursuant to Iowa Code \xc2\xa7 715C.2(6), we are \nsending this letter as a request for \xe2\x80\x9cconsultation with relevant . . . state, or local law enforcement \nagencies\xe2\x80\x9d to confirm that conclusion.\n\nThis is the first time that TerraCom or VCarehas experienced a breach of security.   Security of \npersonal data is the fundamental core of their businesses and they are committed to doing all that \nis possible to ensure that similar incidents do not occur in the future.\n\nTerraComis actively working with an independent digital forensic team to investigate this issue. \nAs this investigation progresses, TerraComwill continue to provide relevant updates to your\nagency regarding this incident andtheir communication with applicants and customers. \n\n3\n\n\x0cIn the meantime, I will be in touch to discuss the timing and procedure of the consultation \nrequested under \xc2\xa7 715C.2(6).  Please do not hesitate to contact me if you have any questions or \nconcerns.\n\nSincerely,\n\nMark C. Del Bianco\n\n4\n\n\x0c'",2013,Iowa
19,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_WorldVentures_Marketing__9BF3A4EFD3784.pdf,"WorldVentures Marketing, LLC",b'\x0c\x0c\x0c',2013,Iowa
20,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_AB_Acquisition_LLC_14C86B485FD56.pdf,AB Acquisition LLC,b'\x0c\x0c\x0c\x0c',2014,Iowa
21,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_v_1448568E334B9.pdf,Blue Zebra,b'\x0c\x0c',2014,Iowa
22,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Heartland_Bank_890FAA299F67D.pdf,Heartland Bank,b'\x0c\x0c',2014,Iowa
23,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_B3E9612799271.pdf,The Home Depot,b'\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c',2014,Iowa
24,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_International_Dairy_Quee_941D41D95D567.pdf,"International Dairy Queen, Inc.",b'\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c',2014,Iowa
25,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Jimmy_Johns_Franchises_L_C42AD1D09B34C.pdf,Jimmy John's Franchises LLC,b'\x0c\x0c\x0c\x0c\x0c\x0c\x0c',2014,Iowa
26,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Service_Alternatives_DA1B2A3429C29.pdf,Service Alternatives,b'\x0c\x0c\x0c\x0c',2014,Iowa
27,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Viator_D5A760735D47F.pdf,Viator,b'\x0c\x0c\x0c\x0c\x0c\x0c',2014,Iowa
28,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Visionworks__General_1_BFD4774C2AA8C.pdf,Visionworks 1,b'\x0c\x0c\x0c\x0c\x0c',2014,Iowa
29,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Visionworks__General_2_06B8A123B8CF7.pdf,Visionworks 2,b'\x0c\x0c\x0c\x0c\x0c',2014,Iowa
30,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Anthem_BlueCross_BlueShi_FD54BF2CF4F4B.pdf,Anthem Blue Cross Blue Shield,b'\x0c\x0c\x0c\x0c\x0c\x0c',2015,Iowa
31,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Anthem_BlueCross_BlueShi_B21019718EF0F.pdf,Anthem Blue Cross Blue Shield Supplement 1,b'\x0c\x0c\x0c',2015,Iowa
32,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Anthem_BlueCross_BlueShi_364C1EEEB1191.pdf,Anthem Blue Cross Blue Shield Supplement 2,b'\x0c\x0c\x0c',2015,Iowa
33,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Automotive_Recovery_Serv_48AC34718D7E7.pdf,"Automotive Recovery Services, Inc.",b'\x0c\x0c\x0c\x0c\x0c\x0c\x0c',2015,Iowa
34,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Bulk_Reef_Supply_Inc_6682C3B9334B4.pdf,"Bulk Reef Supply, Inc.",b'\x0c\x0c\x0c\x0c\x0c',2015,Iowa
35,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Bulk_Reef_Supply_Inc_711B640E0D742.pdf,"Bulk Reef Supply, Inc. Supplement",b'\x0c\x0c\x0c\x0c\x0c\x0c',2015,Iowa
36,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_CICS_Employment_Services_DFF412CC6C493.pdf,"CICS Employment Services, Inc.",b'\x0c\x0c\x0c\x0c',2015,Iowa
37,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Copart_Inc_9D6A8A40B5618.pdf,Copart Inc.,b'\x0c\x0c\x0c\x0c',2015,Iowa
38,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_CVS_Pharmacy_34DC1D4592208.pdf,CVS Pharmacy,b'\x0c\x0c\x0c\x0c\x0c\x0c',2015,Iowa
39,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Delaware_Department_of_J_83D9454FEEAA4.pdf,"Delaware Department of Justice, Investor Protection Unit",b'\x0c\x0c\x0c\x0c\x0c',2015,Iowa
40,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_EyeBuyDirect_Inc_AD19805D6842C.pdf,"EyeBuyDirect, Inc.",b'\x0c\x0c\x0c\x0c\x0c',2015,Iowa
41,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Hard_Rock_Hotel__Casino__9F300141D7C2C.pdf,Hard Rock Hotel & Casino Las Vegas,b'\x0c\x0c\x0c\x0c\x0c',2015,Iowa
42,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Hilton_Worldwide_Inc_71D84C298B35F.pdf,"Hilton Worldwide, Inc.",b'\x0c\x0c\x0c\x0c\x0c\x0c',2015,Iowa
43,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Honigs_Whistle_Stop_06DBDDCAE4DE3.pdf,Honig's Whistle Stop,b'\x0c\x0c\x0c\x0c\x0c\x0c\x0c',2015,Iowa
44,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_FE5D96ABBABCA.pdf,HSBC Finance Corporation,b'\x0c\x0c\x0c',2015,Iowa
45,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Medical_Informatics_Engi_0D507088015D2.pdf,Medical Informatics Engineering,b'\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c',2015,Iowa
46,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Medical_Informatics_Engi_BF25D0A2C7B09.pdf,Medical Informatics Engineering Supplement,b'\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c',2015,Iowa
47,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Montefiore_Health_System_E0C8C7F51C59B.pdf,Montefiore Health System,b'\x0c\x0c\x0c\x0c',2015,Iowa
48,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Park_N_Fly_6B6A2A7DBFDDB.pdf,Park 'N Fly,b'\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c',2015,Iowa
49,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Premera_Blue_Cross_DEA89AD58AEA3.pdf,Premera Blue Cross,b'\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c',2015,Iowa
50,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Premera_Blue_Cross_SUPPL_A2242A6BC4B49.pdf,Premera Blue Cross Supplement,b'\x0c\x0c\x0c',2015,Iowa
51,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Sally_Beauty_Holdings_B7344EDF38ECB.pdf,Sally Beauty Holdings,b'\x0c\x0c\x0c\x0c\x0c\x0c',2015,Iowa
52,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Service_Systems_Associat_3284876E8FCFE.pdf,"Service Systems Associates, Inc.",b'\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c\x0c',2015,Iowa
53,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Shell_Vacations_Club_LLC_2493D85AE8348.pdf,Shell Vacations Club LLC,b'\x0c',2015,Iowa
54,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Snappy_Popcorn_B28D916E97BF2.pdf,Snappy Popcorn,b'\x0c',2015,Iowa
55,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Staples_Inc_A02C1DAD5994B.pdf,"Staples, Inc.",b'\x0c\x0c\x0c\x0c',2015,Iowa
56,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_SterlingBackcheck_05ACBD2185220.pdf,Sterling Backcheck,b'\x0c\x0c',2015,Iowa
