,Cause of Breach,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Address,Entity Type,Individuals Affected,Name of Entity,State Reported
12,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/15/19,12/17/18,6/28/18 - 12/17/18,"2245 Gilbert Ave., Suite 105CincinnatiOH45206",Other Commercial ,"11,030(39 in Maine)",Graeter's Ice Cream,Maine
13,,Social Security Number ,1/14/19,11/30/18,Info not provided,Info not providedInfo not providedInfo not providedInfo not provided,Not-for-Profit ,Info not provided(1 in Maine),Downtown Rescue Mission,Maine
14,,Social Security Number ,1/16/19,12/17/18,"September 13-18, 2018","5800 Granite Parkway, Suite 1000PlanoTX75024",Health Care ,8608(3 in Maine),Reliant Rehabilitation,Maine
15,,"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/8/19,12/3/18,10/17/18-10/18/18,7075 Flying Cloud AveEden PrairieMN55344,Other Commercial ,179(4 in Maine),Johnny Appleseed's Inc.,Maine
16,,"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/7/19,12/18/18,7/25/17 - 2/24/18,1680 Capital One DriveMcLeanVA22102,Financial Services ,564(3 in Maine),"Capital One, National Association",Maine
17,,Social Security Number ,11/30/18 and 1/3/19,6/11/18 - 9/18/18,6/5/18,"12 W. 32nd Street, 10th FloorNew YorkNew York10001",Financial Services ,1999(1 in Maine),Rosenberg & Manente,Maine
18,,Social Security Number Driver's license number or non-driver identification card number ,1/4/19,12/6/18,12/6/18,"1161W Samford Ave, Bldg 9AuburnAL36849",Educational ,155(1 in Maine),Auburn University,Maine
19,Phishing E-mail,"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/31/18,9/24/18,6/7/18-9/242/18,"5851 Legacy Circle, Suite 400PlanoTexas75024",Other Commercial ,"120,573(30 in Maine)","Aimbridge Hospitality Holdings, LLC",Maine
20,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/31/18,9/25/18,9/13/18 - 9/25/18,20 Aberdeen StreetBostonMA02215,Other Commercial ,Not stated(1 in Maine),Blauer Manufacturing Co.,Maine
21,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/28/18,On Prior notice?,"6/9/17-11/28/17, 6/8/18-6/9/18, 7/20/18-10/16/18",Not providedNot providedNot providedNot provided,Other Commercial ,Not provided (This is a supplement to 11/1/18 notice)(45 Additional in Maine),"OXO International, Ltd.",Maine
22,Phishing,Social Security Number ,12/21/18,10/3/18,11/11/17,"303 So. Broadway, Suite 103TarrytownNY10591",Financial Services ,121(1 in Maine),"Debany Financial Group, LLC",Maine
23,Unauthorized access to employee email account via phishing scheme,Social Security Number Driver's license number or non-driver identification card number ,12/28/18,9/26/18,Not provided,Not providedIndianapolisIndianaNot provided,Other Commercial ,Not provided(3 in Maine),MJ Insurance,Maine
24,Unauthorized access to email accounts,Social Security Number ,12/26/18,11/29/18,12/6/17-12/12/17,"11020 David Taylor Drive, Suite 305CharlotteNC28262-1103",Other Commercial ,4711(1 in Maine),4A's Benefits,Maine
25,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/20/18,11/26/18,9/25/18-11/26/18,"233 Spring Street, 6th Floor EastNew York CityNY10013",Other Commercial ,Not provided(163 in Maine),"JAND Inc., d/b/a Warby Parker",Maine
26,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/21/18,11/9/18,9/1/18-10/10/18,300 Beavercreek RoadOregon CityOR97045,Other Commercial ,2702(13 in Maine),"Benchmade Knife Co., Inc.",Maine
27,,"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/21/18,Recently,Recently,Not providedNot providedNot providedNot provided,Other Commercial ,Not provided(2 in Maine),CBTX Inc.,Maine
28,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/19/18,November 2018,November 2018,Not providedNot providedNot providedNot provided,Other Commercial ,Not provided(1 in Maine),Western Bagel Baking C,Maine
29,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/19/18,November 2018,November 2018,Not providedNot providedNot providedNot provided,Other Commercial ,Not provided(2 in Maine),RR Bowker LLC,Maine
30,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/19/18,November 2018,November 2018,Not providedNot providedNot providedNot provided,Other Commercial ,Not provided(1 in Maine),Philadelphia (Five Below),Maine
31,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/19/18,November 2018,November 2018,Not providedNot providedNot providedNot provided,Other Commercial ,Not provided(2 in Maine),Jason's Deli,Maine
32,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/19/18,November 2018,November 2018,Not ProvidedNot ProvidedNot ProvidedNot Provided,Other Commercial ,Not Provided(3 in Maine),Hardwaresource.com,Maine
33,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/19/18,Same as above,November 2018,Not providedNot ProvidedNot ProvidedNot Provided,Other Commercial ,Not Provided(2 in Maine),Dos Amigos Burritos NEWB,Maine
34,email account of an employee unauthorized individual,Social Security Number ,12/14/18,9/19/18,Not stated,"325 Chestnut Street, Suite 1000PhiladelphiaPA19106",Other Commercial ,Not provided(1 in Maine),Exude Benefits Group,Maine
35,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","January 8, 2019","November 26, 2018","July 13, 2018 – October 2, 2018",5959 Triumph StreetCommerceCA90040,Other Commercial ,2263(9 in Maine),Century Spring Corp.,Maine
36,,Social Security Number Driver's license number or non-driver identification card number ,01/14/2019,10/26/2018,08/18/2018,396 County RoadWesbrookME04092,Other Commercial ,64(21 in Maine),"Nortrax, Inc.",Maine
37,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","Once A&A’s forensic investigation revealed a breach impacting Maine residents, and had restored the integrity and security of the impacted systems, A&A prepared to notify those impacted individuals. Notifications to the impacted individuals in Maine were sent by U.S. Mail on January 9, 2019.","A&A was notified of suspicious activity on August 17, 2018 and immediately launched a forensic investigation.  The forensic investigation concluded on December 7, 2018, revealing a breach impacting Maine residents.","Based upon A&A’s investigation to date, it appears that information entered on its website may have been exposed at various points in time, including from August 15, 2017 to January 4, 2019.",3359 East 50th StreetVernonNew York90058,Other Commercial ,"52,441(735 in Maine)","A&A Global Imports, Inc.",Maine
38,,Social Security Number Driver's license number or non-driver identification card number ,1/4/19,12/6/18,12/6/18,"1161 W. Samford Ave, Bldg 9AuburnAL36849",Educational ,155(1 in Maine),Auburn University,Maine
39,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/14/18,11/13/18,11/12/18-11/13/18,3005 S. Lamar BlvdAustinTX78704,,1290(5 in Maine),"Free Speach Systems, LLC",Maine
40,Credential stuffing,"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/14/18,11/16/18,10/27/18-11/16/18,"1231 Greenway Drive, Suite 600IrvingTX75038",Financial Services ,4360(10 in Maine),"ACE Cash Express, Inc.",Maine
41,,Social Security Number ,12/14/18,"Early August, 2018",Not stated,Not statedNot statedNot statedNot stated,Financial Services ,Not stated(1 in Maine),NFM Lending,Maine
42,,Social Security Number Driver's license number or non-driver identification card number ,12/28/18,11/30/18,5/1/18-7/12/18,1840 South 1300 EastSalt Lake CityUT84105,Educational ,1090(1 in Maine),Westminster College,Maine
43,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/19/18,11/20/18,9/28/18-11/20/18,"750 Third Avenue, Suite 702New YorkNY10017",Other Commercial ,"3,465(19 in Maine)","GoldSilver, LLC",Maine
44,Unauthorized code injected into website's JavaScript,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/17/18,10/30/18-1/15/18,9/8/18-10/2/18,3140 Mercer AveBellinghamWashington98225,Other Commercial ,392(4 in Maine),"Dr. Ben Lynch, LLC",Maine
45,Phishing,Social Security Number Driver's license number or non-driver identification card number ,12/17/18,10/18/18,10/8/18-10/10/18,75 Park StreetElizabethtownNY12932,Health Care ,32000(38 in Maine),University of Vermont Health Network - Elizabethtown Community Hospital,Maine
46,,Social Security Number ,12/21/18,11/12/18,11/11/18,707 2nd Ave SMinneapolisMN55474,Financial Services ,1513(4 in Maine),"American Financial, Inc.",Maine
47,,"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/10/18,8/9/18,7/2/18-8/14/18,"4335 Main Street, Suite 650Kansas CityMO64111",Financial Services ,729(13 in Maine),"Frontier Wealth Management, LLC",Maine
48,,"Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/24/18,10/2/18,10/2/18,"77 College Street, Suite 2CBurlingtonVT05401",Other Commercial ,89(3 in Maine),"Burke Law, P.C.",Maine
49,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",placed in the mail 01-09-19,12-06-2018,11-14-2018,704 Fourth StreetBeloitWI53511,Other Commercial ,859(6 in Maine),Welders Supply Company,Maine
50,C,Social Security Number ,c,C,C,cccc,Not-for-Profit ,C(C in Maine),c,Maine
51,,Social Security Number ,1/9/19,12/10/18,Approximately 6/5/18-10/18/18,"117 Kendrick Street, Suite 250NeedhamMassachusetts02494",Other Commercial ,490(2 in Maine),"Enservio, Inc.",Maine
52,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/14/18,Not stated,1/2018 - 10/2018,4952 Whitefish Stage RoadWhitefishMT59937,Other Commercial ,Not stated(166 in Maine),Hammer Nutrition,Maine
53,,"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/14/18,Not stated,Not stated,1700 West Park Drive Suite310WestboroughMA01581,Financial Services ,Not stated(16 in Maine),Springstone Financial,Maine
54,,"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/6/18,11/6/18,11/6/18,"ProcessingCenter, P.O. Box 141578AustinTexas78714",Health Care ,600(1 in Maine),"Sunquest Information Systems, Inc.",Maine
55,Internal system breach Outside individual(s) who previously obtained customer credentials to access Intuit customers' accounts,Social Security Number Driver's license number or non-driver identification card number ,In Process,11/20/18,On or before 11/20/18,2535 Garcia AvenueMountain ViewCA94043,Other Commercial ,2(2 in Maine),Intuit Inc.,Maine
56,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","December 31, 2018","September 25, 2018","September 13, 2018 to September 25, 2018",20 Aberdeen StreetBostonMA02215,Other Commercial ,374(1 in Maine),Blauer Manufacturing Co.,Maine
57,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/12/18,11/1/18,12/29/17-8/16/18,"425 Madison Avenue, 3rd Floor, SE Corner of 49th St.New YorkNY10017",Other Commercial ,194(1 in Maine),"Ronin Gallery, LLC",Maine
58,,Social Security Number Driver's license number or non-driver identification card number ,12/10/18,9/13/18,9/13/18,375 Hudson StreetNew YorkNY10014,Other Commercial ,929(1 in Maine),Turner Construction Company,Maine
59,,Social Security Number ,12/7/18,Not specified,9/13/18-9/18/18,Not providedNot providedNot providedNot provided,Financial Services ,Not specified(1 in Maine),Luzerne Bank,Maine
60,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/7/18,11/6/18,11/23/17,3839 Forest Hill Irene RoadMemphisTN38125,Other Commercial ,65798(507 in Maine),"Titan Manufacturing and Distributing, Inc.",Maine
61,,Social Security Number ,12/6/18,9/27/18,8/27/2018-9/27/18,3700 W. Juneau Ave.MilwaukeeWI53208,Other Commercial ,959(7 in Maine),"Harley-Davidson Motor Company, Inc.",Maine
62,,Social Security Number ,12/28/18,11/29/18,10/31/18 - 11/13/18,3211 Jermantown RoadFairfaxVirginia22030,Other Commercial ,"8,239(35 in Maine)",General Dynamics Information Technology,Maine
63,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/5/18,11/1/2018,Not specified,12002 Airport WayBroomfieldCO80021,Other Commercial ,135(2 in Maine),"Vega US., LLC",Maine
64,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/6/18,11/26/18,11/24/18,708 Ditz DriveManheimPA17545,Other Commercial ,643(3 in Maine),"Backcountry Edge, Inc.",Maine
65,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","December 31, 2018","December 20, 2018","August 5, 2016 through November 16, 2018",12610 NW 115th Ave.MiamiFlorida33178,Other Commercial ,"70,244(310 in Maine)","BEL USA, LLC through its website DiscountMugs.com",Maine
66,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/31/2018,"December 20, 2018","August 5, 2016 through November 16, 2018.",aaaa,Other Commercial ,"70,244(310 in Maine)",a,Maine
67,,"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",December 7,"Nobember 26, 2018","November 21, 2018",100 High StreetEastportMaine04631,Educational ,1285(1285 in Maine),A.O.S. #77,Maine
68,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","December 20, 2018","Nov. 30, 2018","Nov. 27, 2018",233 Loewe DriveShepherdstownWest Virginia25443,Other Commercial ,125(1 in Maine),"Federal Group, Inc. t/d/b/a Clarion Hotel & Conference Center, Shepherdstown, WV",Maine
69,,Social Security Number ,12/20/2018,11/21/2018,11/1/2018,"5707 Southwest Parkway, Building 2, Suite 400AustinTX78735",Financial Services ,"4,972(11 in Maine)","Kestra Investment Services, LLC",Maine
70,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/4/18,11/5/18,9/4/18 - 9/12/18,1680 Capital One DriveMcLeanVA22102,Financial Services ,"20,675(4 in Maine)","Capital One, National Association",Maine
71,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/30/18,10/23/18,8/15/18 to 10/10/18,150 West Church AvenueMaryvilleTN37801,Other Commercial ,"8,151(5 in Maine)","Walters and Mason Retail, Inc. d/b/a Altar'd State",Maine
72,,"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",December 7,"Nobember 26, 2018","November 21, 2018",100 High StreetEastportMaine04631,Educational ,1285(1285 in Maine),A.O.S. #77,Maine
73,,,Week of 12/17/2018,"November 8, 2018","Between June 7, 2018 and November 20, 2018",167 Industrial Park Cir.LivingstonTennessee38570,Other Commercial ,"11,972(52 in Maine)","Piech Sales Company, LLC dba ValuePetSupplies.com",Maine
74,,Social Security Number ,11/30/18,8/6/18,5/23/18,10718 Richmond HighwayLortonVA22079,Other Commercial ,"11,702(4 in Maine)","Five Guys Holdings, Inc. and its subsidiaries",Maine
75,,Social Security Number ,11/30/18,6/11/08 - 9/18/18,6/5/18,12 W 32nd Street 10th FlooreNew YorkNY10001,Financial Services ,1587(7 in Maine),Rosenberg & Manente,Maine
76,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/30/18,10/30/18,6/1/16,"One Old Country Road, Suite 500Carle PlaceNY11514",Other Commercial ,"74,548(50 in Maine)","1873349 Ontario, Inc.",Maine
77,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/30/18,9/8/18,Since 2014,10400 Fernwood RoadBethesdaMD20817,Other Commercial ,"500,000,000(Not yet determined in Maine)","Marriott International, Inc.",Maine
78,"External system breach (e.g., hacking)External system breach (e.g., hacking)a","Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",a,a,a,aaaa,Other Commercial ,a(a in Maine),a,Maine
79,,Social Security Number ,11/30/18,10/20/18,10/1/18-10/15/18,1235 University BoulevardSteubenvilleOhio43952,Educational ,"Approx. 2,400(7 in Maine)",Franciscan University of Steubenville,Maine
80,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/29/18,10/10/18,Unknown,"584 Broadway, Suite 1103New YorkNY11218",Other Commercial ,"6,156(11 in Maine)","Viyet, LLC dba Sotheby's Home",Maine
81,,,"December 14, 2018","November 27, 2018","March 8, 2018",350 Ellis StreetMountain ViewCalifornia94043,Other Commercial ,30(1 in Maine),Symantec Corporation,Maine
82,,Social Security Number ,"December 14, 2018","September 14, 2018","September 10, 2018",200 Park AvenueNew YorkNew York10166,Financial Services ,104(1 in Maine),Metropolitan Life Insurance Company,Maine
83,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/17/2018-12/21/2018,11/19/2018,8/2/2018-9/26/2018,"1470 Enea Circle, Suite 1600ConcordCA94520",Other Commercial ,14519(2 in Maine),"Beverages & More, Inc. dba BevMo!",Maine
84,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/7/18,11/7/18,9/27/18,"350 5th Avenue, 6th FloorNew YorkNew York10118",Other Commercial ,1001(2 in Maine),"Robert Graham Designs, LLC",Maine
85,,"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/21/18 - 11/28/18,11/1/18?,11/1/18,"75 State Street, 22nd FloorBostonMA02109",Financial Services ,"270,000(2,243 originally.  Supplemental notice includes an additional 70 Maine residents in Maine)",LPL Financial LLC,Maine
86,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","December 6, 2018","November 7, 2018","October 23, 2018","3158 Red Hill Avenue, Suite 200Costa MesaCalifornia92626",Other Commercial ,405(1 in Maine),Adopt a Highway Maintenance Corporation,Maine
87,Unauthorized third parties used credentials gained from other companies' breaches to gain access to consumer DD perks accounts where consumers used the same credentials.,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/28/18,10/31/18,Unknown,130 Royall StreetCantonMA02021,Other Commercial ,"175,221(2,857 in Maine)","Dunkin' Brands, Inc.",Maine
88,Phishing email attack,"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/26/18,10/26/18,"From May 17th, June 6th and September 2018",100 E. Main StreetChristiansburgVA24073,,909(1 in Maine),Town of Christiansburg,Maine
89,,"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/26/18,10/15/18,10/3/18,"221 Main Street, Third FloorSan FranciscoCA94105",Financial Services ,"3,115(18 in Maine)",Prosper,Maine
90,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",9/7/18 and 10/25/18,9/5/18,8/21/18-9/5/2018 and 5/21/18-7/28/18,"Waterside HQ, Speedbird Way, PO Box 365Harmondsworth,West Drayton UB7 0GBUK",Other Commercial ,"429,000(71 in Maine)","British Airways, Plc",Maine
91,,"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/20/2018,10/29/2018,10/16/2017,300 Windsor DriveOak BrookIL60523,Other Commercial ,580(2 in Maine),"Chamberlain Group, Inc",Maine
92,,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-31 00:00:00,,8/3/2018 (discovered 10/2/18),,,3(in Maine,"Whole Foods Market Group, Inc., 550 Bowie Street, Austin, TX 78703",Maine
93,,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-29 00:00:00,,2018-09-18 00:00:00,,,1(in Maine,"LJCooper Capital Management, LLC d/b/a LJCooper Wealth Advisors, 742 N 530 E, Orem, UT 84097",Maine
94,,Personal data including SSN,2018-10-27 00:00:00,,Discovered 10/23/18,,,32(in Maine,"University of Maine, 46 University Drive, Augusta, Maine 04330",Maine
95,,Name or other personal identifier in combination with SSN,2018-10-26 00:00:00,,2018-06-04 00:00:00,,,4(in Maine,"Star Title Partners of Palm Harbor, LLC, 30522 US Hwy 19 N. Ste. 101, Palm Harbor, FL 34684",Maine
96,,Name or other personal identifier in combination with SSN,2018-10-25 00:00:00,,2018-09-29 00:00:00,,,1(in Maine,"Cenera Funding, Inc., 3600 Benbrook Highway, Fort Worth, TX  76116",Maine
97,,Name or other personal identifier in combination with SSN and driver's license number or non-driver identification card numbe,2018-10-26 00:00:00,,8/6/18-8/31/18 (discovered 8/29/18),,,1(in Maine,"Fifth Third Bank, 38 Fountain Square Plaza, Cincinnati, OH  45140",Maine
98,,Personal information relating to Net32 orders potentially including credit card numbers.,2018-10-25 00:00:00,,9/22/18 - 9/25/18,,,25(in Maine,Net32,Maine
99,,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-25 00:00:00,,8/13/18-9/24/18,,,10(in Maine,"TravisMathew LLC, 15202 Graham Street, Huntington Beach, CA 92649",Maine
100,,Name or other personal identifier in combination with SSN,2018-10-25 00:00:00,,Unknown - 9/25/18,,,1(in Maine,"Heartland Hotel Corporation, 4403 First Ave., SE Suite 114; Cedar Rapids, IA  52402",Maine
101,,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-25 00:00:00,,4/11/18-9/13/18,,,68(in Maine,"STL International, Inc., d/b/a Teeter, 9902 162nd Street, Ct. E., Puyallup, WA 98375",Maine
102,,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-25 00:00:00,,4/4/18-9/26/18,,,1(in Maine,"Avis Budget Portugal, Sovial - Sociedade de Viatruas de Aluguer, Lda., R. Prof. Fernando da Fonseca, Edificio Visconde De Alvalade, 6  piso, Lisboa, Portugal 01600-616",Maine
103,,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-24 00:00:00,,7/7/17-10/2/18 (discovered 10/2/18),,,331(in Maine,"GSI US, Inc., 1009 Lenox Drive, Suite 202, Lawrenceville, NJ 08648",Maine
104,,"Name, username and password",2018-10-25 00:00:00,,In or prior to April 2018 (discovered 9/23/18),,,1697(in Maine,"Tengointernet, Inc., 3300 North Interstate Highway 35, Suite 600, Austin, TX 78705",Maine
105,,Old Discover Card information may have been compromised,2018-10-24 00:00:00,,2018-09-01 00:00:00,,,512(in Maine,Aptos Inc,Maine
106,,Old Discover Card information may have been compromised,2018-10-24 00:00:00,,2018-09-01 00:00:00,,,1(in Maine,British Airways,Maine
107,,Old Discover Card information may have been compromised,2018-10-24 00:00:00,,2018-09-01 00:00:00,,,1(in Maine,City Lights Collectibles,Maine
108,,Old Discover Card information may have been compromised,2018-10-24 00:00:00,,2018-09-01 00:00:00,,,3(in Maine,Dutch Gardens,Maine
109,,Old Discover Card information may have been compromised,2018-10-24 00:00:00,,2018-09-01 00:00:00,,,10(in Maine,Marian Helpers Corporation,Maine
110,,"Name, birthdate, diagnosis, treatment information, medication, prescription information, billing and claims information, and health insurance number and information",2018-10-24 00:00:00,,6/28/18-7/2/18 (discovered 7/3/18),,,29(in Maine,"Reliable Respiratory, 1504 Boston Providence Highway, #11a, Norwood, MA  02062",Maine
111,,Email addresses/usernames and hashed passwords,2018-10-24 00:00:00,,4/16/18-4/27/18 (discovered 7/5/18),,,47(in Maine,"ShopStyle Inc., 800 Concar Drive, Suite 175, San Mateo, CA 94402",Maine
112,,See 12/22/17 and 2/2/18 notices,2018-10-23 00:00:00,,Supplement to Feb 2 notice,,,Additional 3 residents(in Maine,"Tio Networks, 2211 N 1st Street, San Jose, CA 95131 (re: Alliance Data & Florida Power & Light Company)",Maine
113,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,2018-10-23 00:00:00,,2/22/17-8/27/18 (discovered 6/14/18),,,396(in Maine,"TransUnion LLC, 555 W Adams Street, Chicago, IL 60661",Maine
114,,"Name or other identifier in combination with SSN, Driver's license number or non-driver identification card number",2018-10-23 00:00:00,,2018-08-14 00:00:00,,,2(in Maine,"Village People, LLC, 2206 21st Avenue South, Nashville, TN 37212",Maine
115,,"Possibly Name, SSN, health insurance information, dates of birth could have been impacted",2018-10-22 00:00:00,,Discovered 8/8/18,,,2(in Maine,Dr. Amy Woodruff,Maine
116,,Email addresses and encrypted password creditionals,2018-10-17 00:00:00,, June 2018 - Aug 2018   (Discovered 8/22/18) ,,,Not specified(in Maine,Shein,Maine
117,,See 10/18/18 notice,2018-10-22 00:00:00,,Supplement to 10/18/18 Notice,,,See 10/18/18 notice(in Maine,"Renaissance Pilanthropic Solutions Group (""RenPSG""), 8910 Purdue Road, Suite 500, Indianapolis, IN  46268",Maine
