"
Organization Name ","
            Date(s) of Breach          ","
Reported Date "
b'\nSan Bernardino Community College District ',b'\n10/25/2018 ',b'\n            12/12/2018          '
b'\nFarmer Bros. Co. ',b'\n05/01/2018 ',b'\n            12/11/2018          '
"b'\nMUFG Union Bank, N.A. '","b'\n11/09/2018, 11/22/2018 '",b'\n            12/11/2018          '
b'\nTitan Manufacturing and Distributing Inc. ',"b'\n11/23/2017, 05/22/2018, 10/25/2018 '",b'\n            12/10/2018          '
b'\nRedwood Eye Center  ',b'\n09/19/2018 ',b'\n            12/06/2018          '
"b'\nMarriott International, Inc. '",b'\n09/10/2018 ',b'\n            11/30/2018          '
"b'\n1873349 Ontario, Inc. '",b'\n06/01/2018 ',b'\n            11/30/2018          '
"b'\nThe Tax Specialists, Inc. '","b'\n03/01/2018, 03/19/2018 '",b'\n            11/29/2018          '
"b""\nViyet, LLC DBA Sotheby's Home """,b'\n            n/a          ',b'\n            11/29/2018          '
"b'\nThesy, LLC '","b'\n12/06/2017, 06/27/2018 '",b'\n            11/28/2018          '
"b""\nDunkin' Brands Inc. """,b'\n            n/a          ',b'\n            11/28/2018          '
"b'\nUnified Trust Company, N.A. '","b'\n12/06/2017, 02/25/2018 '",b'\n            11/28/2018          '
b'\nPaylocity Corporation ',b'\n11/01/2018 ',b'\n            11/27/2018          '
"b'\nArtix Entertainment, LLC '",b'\n            n/a          ',b'\n            11/27/2018          '
b'\nAtrium Health (formerly Carolinas HealthCare System) ',"b'\n09/22/2018, 09/29/2018 '",b'\n            11/27/2018          '
b'\nSynchrony Bank ',"b'\n12/28/2017, 07/09/2018 '",b'\n            11/27/2018          '
b'\nHousing Authority of the County of Alameda (HACA) ',"b'\n09/02/2018, 09/03/2018 '",b'\n            11/26/2018          '
"b'\nPharmacy Times Office of Continuing Professional Education (""PTCE"") '",b'\n07/06/2018 ',b'\n            11/26/2018          '
"b'\nProsper Marketplace, Inc. '",b'\n10/03/2018 ',b'\n            11/26/2018          '
b'\nBritish Airways Plc ',"b'\n10/21/2018, 09/05/2018, 04/21/2018, 07/28/2018 '",b'\n            11/21/2018          '
b'\nDiscover Financial Services ',b'\n02/26/2016 ',b'\n            11/21/2018          '
b'\nR.R. Bowker LLC ',b'\n05/01/2018 ',b'\n            11/20/2018          '
b'\nEl Centro Regional Medical Center ',"b'\n05/08/2018, 05/11/2018 '",b'\n            11/20/2018          '
b'\nFrancesca\xe2\x80\x99s Services Corporation ',"b'\n12/28/2017, 07/09/2018 '",b'\n            11/19/2018          '
b'\nLPL Financial LLC ',b'\n11/01/2018 ',b'\n            11/17/2018          '
b'\nMetropolitan Life Insurance Company ',b'\n10/18/2018 ',b'\n            11/16/2018          '
"b'\nOSIsoft, LLC '","b'\n03/23/2017, 05/06/2017, 05/09/2017, 08/05/2017, 04/18/2018, 05/23/2018, 07/18/2018, 07/26/2018 '",b'\n            11/16/2018          '
"b'\nHealthEquity, Inc. '","b'\n09/04/2018, 10/05/2018 '",b'\n            11/15/2018          '
b'\nNewegg Inc. ',b'\n08/13/2018 ',b'\n            11/15/2018          '
"b'\nStein Mart, Inc. '","b'\n12/28/2017, 07/09/2018 '",b'\n            11/13/2018          '
b'\nCity of Bakersfield ',"b'\n08/11/2018, 10/01/2018 '",b'\n            11/12/2018          '
"b'\nTitle Nine Sports, Inc. '","b'\n12/28/2017, 07/09/2018 '",b'\n            11/12/2018          '
b'\nDC International ',b'\n07/20/2018 ',b'\n            11/07/2018          '
"b'\nProfessional Publications, Inc. (PPI) '","b'\n06/11/2017, 09/11/2017 '",b'\n            11/06/2018          '
"b'\nEl Paso \xe2\x80\x93 Los Angeles Limousine Express, Inc. '","b'\n12/09/2016, 09/13/2018 '",b'\n            11/06/2018          '
"b'\nTyler Technologies, Inc. '",b'\n10/08/2018 ',b'\n            11/06/2018          '
"b'\nNordstrom, Inc. '",b'\n10/09/2018 ',b'\n            11/05/2018          '
"b'\nFive Guys Holdings, Inc. and subsidiaries.   '","b'\n05/23/2018, 08/06/2018 '",b'\n            11/02/2018          '
"b'\nTransamerica, including Transamerica Life Insurance Company and Transamerica Retirement Solutions, LLC '",b'\n08/22/2018 ',b'\n            11/02/2018          '
"b'\nHSBC Bank USA, National Association '",b'\n10/04/2018 ',b'\n            11/02/2018          '
b'\nOXO ',b'\n07/01/2018 ',b'\n            11/01/2018          '
b'\nNorthBay Healthcare Corporation ',"b'\n05/08/2018, 05/09/2018, 05/10/2018, 05/11/2018 '",b'\n            10/30/2018          '
"b""\nRaley's/Bel Air Mart/Nob Hill General Store, Inc. """,b'\n09/24/2018 ',b'\n            10/26/2018          '
"b'\nTengoInternet, Inc. '",b'\n            n/a          ',b'\n            10/26/2018          '
"b'\nTravisMathew, LLC '","b'\n08/13/2018, 09/25/2018 '",b'\n            10/25/2018          '
"b'\nSTL International, Inc. d/b/a Teeter  '",b'\n04/11/2018 ',b'\n            10/25/2018          '
b'\nGirl Scouts of Orange County ',b'\n09/30/2018 ',b'\n            10/25/2018          '
"b'\nBankers Life (BL) - BL is the marketing brand of Bankers Life and Casualty Co., Medicare Supplement insurance policies sold by Colonial Penn Life Insurance Co. and select policies sold in NY by Bankers Conseco Life Insurance Company, a NY licensed ins. co '","b'\n05/30/2018, 09/13/2018 '",b'\n            10/25/2018          '
"b'\nGS1 US, Inc. '",b'\n07/07/2017 ',b'\n            10/25/2018          '
"b'\nNet32, Inc. '",b'\n09/22/2018 ',b'\n            10/25/2018          '
b'\nShopStyle Inc. ',"b'\n04/16/2018, 04/27/2018 '",b'\n            10/24/2018          '
b'\nRenaissance Philanthropic Solutions Group (\xe2\x80\x9cRenPSG\xe2\x80\x9d) ',"b'\n06/05/2018, 06/13/2018 '",b'\n            10/18/2018          '
b'\nCity of Indio/Indio Water Authority ',"b'\n01/01/2017, 08/13/2018 '",b'\n            10/12/2018          '
b'\nCalifornia State University East Bay ',b'\n03/27/2017 ',b'\n            10/12/2018          '
b'\nBioMarin Pharmaceutical Inc. ',b'\n06/18/2018 ',b'\n            10/11/2018          '
b'\nEnvision Healthcare Corporation ',b'\n07/17/2018 ',b'\n            10/10/2018          '
b'\nShein ',b'\n06/01/2018 ',b'\n            10/10/2018          '
"b'\nRoadrunner Transportation Systems, Inc. '","b'\n04/01/2018, 04/29/2018 '",b'\n            10/09/2018          '
"b'\nDecisionHR Holdings, Inc. '",b'\n            n/a          ',b'\n            10/08/2018          '
b'\nGold Coast Health Plan ',"b'\n06/18/2018, 08/01/2018 '",b'\n            10/05/2018          '
"b'\nNorth American Risk Services, Inc. '","b'\n02/07/2018, 03/27/2018 '",b'\n            10/05/2018          '
b'\nKennedy High School ',b'\n10/02/2018 ',b'\n            10/04/2018          '
b'\nAnother Planet Entertainment ',b'\n04/09/2018 ',b'\n            10/02/2018          '
b'\nRite Aid Corporation ',b'\n08/30/2018 ',b'\n            10/01/2018          '
b'\nQuest Nutrition ',b'\n11/10/2017 ',b'\n            09/28/2018          '
b'\nAflac ',"b'\n09/08/2017, 05/09/2018 '",b'\n            09/28/2018          '
"b'\nChegg, Inc.  '",b'\n            n/a          ',b'\n            09/26/2018          '
b'\nTravis Credit Union ',"b'\n07/16/2018, 08/19/2018 '",b'\n            09/25/2018          '
b'\nMark\xe2\x80\x99s International Wines  ',b'\n07/22/2018 ',b'\n            09/22/2018          '
b'\nYRC Worldwide Inc.  ',b'\n07/24/2018 ',b'\n            09/21/2018          '
"b'\nBlood Systems, Inc. '","b'\n08/29/2018, 08/30/2018, 08/31/2018, 09/01/2018, 09/02/2018 '",b'\n            09/20/2018          '
b'\nThe Affiliated Group ',b'\n11/20/2017 ',b'\n            09/19/2018          '
b'\nTech Rabbit LLC ',"b'\n02/22/2017, 05/22/2018 '",b'\n            09/19/2018          '
"b'\nELS Language Services, Inc.  '",b'\n            n/a          ',b'\n            09/18/2018          '
b'\nPeaceful Valley Farm & Garden Supply ',"b'\n02/09/2018, 08/22/2018 '",b'\n            09/11/2018          '
"b'\nSurgerical Specialties of Arroyo Grande, LLC, dba Oak Park Surgery Center '",b'\n            n/a          ',b'\n            09/10/2018          '
b'\nMt. Diablo Unified School District ',b'\n08/08/2018 ',b'\n            09/07/2018          '
"b'\nReddit, Inc. '",b'\n06/14/2018 ',b'\n            09/04/2018          '
b'\nBombas LLC ',"b'\n09/27/2014, 02/25/2015 '",b'\n            08/31/2018          '
"b""\nPort City Operating Company, doing business as St. Joseph's Medical Center """,b'\n            n/a          ',b'\n            08/31/2018          '
b'\nMovement Mortgage LLC ',"b'\n10/09/2017, 03/29/2018 '",b'\n            08/31/2018          '
"b'\nRichard Owen Nursery, Inc. d/b/a Dutch Gardens USA '",b'\n09/29/2017 ',b'\n            08/29/2018          '
b'\nL\xc3\x8dLL\xc3\x89baby ',b'\n06/01/2016 ',b'\n            08/29/2018          '
"b'\nDorian Business Systems, LLC '",b'\n            n/a          ',b'\n            08/24/2018          '
"b""\nCheddar's Scratch Kitchen (a concept acquired by Darden Restaurants in 2017) ""","b'\n11/03/2017, 01/02/2018 '",b'\n            08/23/2018          '
b'\nQuality-Care Pharmacy ',b'\n03/11/2018 ',b'\n            08/22/2018          '
b'\nBank of the West ',b'\n03/02/2018 ',b'\n            08/20/2018          '
"b'\nAuthentic Recovery Center, LLC '",b'\n06/07/2018 ',b'\n            08/17/2018          '
b'\nAnimoto Inc. ',b'\n07/10/2018 ',b'\n            08/16/2018          '
b'\nGordon Schanzlin New Vision Institute ',b'\n10/25/2017 ',b'\n            08/16/2018          '
"b'\nCNG Financial Corporation, Inc. and its administrative services entity Axcess Financial Services, Inc '","b'\n07/11/2018, 07/16/2018 '",b'\n            08/15/2018          '
b'\nDelicato Vineyards ',"b'\n04/26/2018, 04/27/2018 '",b'\n            08/14/2018          '
"b'\nHasbro, Inc. '","b'\n09/15/2017, 11/19/2017 '",b'\n            08/10/2018          '
"b'\nJPMorgan Chase Bank, N.A.  '",b'\n06/28/2018 ',b'\n            08/10/2018          '
b'\nCapital One ',b'\n01/27/2017 ',b'\n            08/09/2018          '
"b'\nTCM Bank, N.A. (\xe2\x80\x9cTCM Bank\xe2\x80\x9d) '",b'\n03/15/2017 ',b'\n            08/06/2018          '
b'\nColorado Bankers Life Insurance Company ',"b'\n03/28/2018, 04/13/2018 '",b'\n            08/03/2018          '
"b'\nGallagher Bassett Services, Inc. '",b'\n            n/a          ',b'\n            08/03/2018          '
"b'\nAmerican Express Travel Related Services Company, Inc. '",b'\n07/05/2018 ',b'\n            08/02/2018          '
b'\nCompass Bank ',"b'\n01/01/2018, 07/01/2018 '",b'\n            08/01/2018          '
"b'\nWelk Resort Group, Inc. '","b'\n09/29/2017, 12/13/2017 '",b'\n            08/01/2018          '
b'\nBank of Hope ',b'\n            n/a          ',b'\n            07/30/2018          '
b'\nUnityPoint Health ',"b'\n03/14/2018, 04/03/2018 '",b'\n            07/30/2018          '
b'\nPlant Therapy ',"b'\n03/29/2018, 05/11/2018 '",b'\n            07/30/2018          '
b'\nTradeMotion ',b'\n10/13/2017 ',b'\n            07/25/2018          '
b'\nInstitute on Aging ',b'\n05/28/2018 ',b'\n            07/20/2018          '
b'\nMassive Media Match NV ',b'\n11/23/2012 ',b'\n            07/19/2018          '
"b'\nComplyRight, Inc. '","b'\n04/20/2018, 05/22/2018 '",b'\n            07/19/2018          '
b'\nDiscover Financial Services ',b'\n01/02/2018 ',b'\n            07/18/2018          '
b'\nTommie Copper Inc ',"b'\n11/10/2017, 01/21/2018 '",b'\n            07/11/2018          '
b'\nMedEvolve ',b'\n03/29/2018 ',b'\n            07/10/2018          '
"b'\nCoty, Inc. '",b'\n01/12/2018 ',b'\n            07/06/2018          '
b'\nThe International Mission Board ',"b'\n02/14/2018, 04/11/2018 '",b'\n            07/06/2018          '
"b'\nMSK Group, P.C. '",b'\n05/07/2018 ',b'\n            07/05/2018          '
"b'\nThe Information and Referral Federation of Los Angeles County, Inc., d/b/a 211 LA County '","b'\n03/14/2018, 04/23/2018 '",b'\n            07/05/2018          '
"b""\nMacy's, Inc ""","b'\n04/26/2018, 06/11/2018 '",b'\n            07/02/2018          '
b'\nCity of Oxnard ',"b'\n03/25/2018, 05/29/2018 '",b'\n            06/29/2018          '
b'\nEast Bay Municipal Utility District ',b'\n02/05/2014 ',b'\n            06/29/2018          '
"b'\nAmgen, Inc. '",b'\n02/21/2018 ',b'\n            06/26/2018          '
"b'\nHasbro, Inc. '","b'\n09/15/2017, 11/19/2017 '",b'\n            06/25/2018          '
b'\nDiscover Financial Services ',b'\n07/16/2017 ',b'\n            06/25/2018          '
"b'\nForever 21, Inc. '","b'\n02/15/2018, 03/23/2018 '",b'\n            06/22/2018          '
b'\nTuskegee University ',"b'\n09/24/2017, 03/22/2018 '",b'\n            06/22/2018          '
b'\nNotre Dame de Namur University ',b'\n04/23/2018 ',b'\n            06/20/2018          '
b'\nRegency Theatres ',b'\n            n/a          ',b'\n            06/19/2018          '
b'\nWalgreen Co. ',"b'\n12/20/2017, 04/17/2018 '",b'\n            06/19/2018          '
b'\nGreatBanc Trust Company ',b'\n10/23/2017 ',b'\n            06/15/2018          '
b'\nMyHeritage Ltd. ',b'\n10/26/2017 ',b'\n            06/15/2018          '
b'\nPOPSUGAR Inc. ',b'\n02/22/2018 ',b'\n            06/14/2018          '
b'\nAAA Business Supplies ',b'\n04/08/2018 ',b'\n            06/13/2018          '
"b'\nDenise M. Bowden, LAc '",b'\n04/28/2018 ',b'\n            06/11/2018          '
b'\nManduka ',"b'\n02/22/2017, 03/05/2018 '",b'\n            06/08/2018          '
"b'\nSysteme Software, Inc.  '",b'\n05/07/2018 ',b'\n            06/07/2018          '
"b'\nAimbridge Hospitality Holdings, LLC '","b'\n01/08/2018, 03/21/2018 '",b'\n            06/07/2018          '
b'\n9W Halo OpCo L.P. d/b/a Angelica  ',"b'\n04/10/2018, 04/10/2018, 04/11/2018 '",b'\n            06/07/2018          '
b'\nPLAE INC. ',"b'\n03/15/2018, 05/11/2018 '",b'\n            06/04/2018          '
"b'\nEdward D. Jones & Co, L.P. '",b'\n04/21/2018 ',b'\n            06/04/2018          '
b'\nCity of Thousand Oaks ',b'\n11/21/2017 ',b'\n            06/04/2018          '
b'\nHair Free Forever ',b'\n            n/a          ',b'\n            06/03/2018          '
"b'\nForever 21, Inc. '",b'\n02/15/2018 ',b'\n            06/01/2018          '
"b'\nElmcroft Senior Living, Inc. '","b'\n05/10/2018, 05/11/2018, 05/12/2018 '",b'\n            06/01/2018          '
"b'\nTransamerica, including Transamerica Life Insurance Company and Transamerica Retirement Solutions, LLC '","b'\n03/01/2017, 01/31/2018 '",b'\n            06/01/2018          '
b'\nBay Area Air Quality Management District ',"b'\n01/10/2018, 01/24/2018, 01/31/2018, 02/07/2018 '",b'\n            05/25/2018          '
"b'\nCBS Interactive, Inc. '","b'\n01/01/2018, 05/16/2018 '",b'\n            05/24/2018          '
b'\nCalifornia Department of Public Health ',b'\n03/12/2018 ',b'\n            05/23/2018          '
b'\nGolden 1 Credit Union ',"b'\n04/07/2018, 04/14/2018, 04/22/2018 '",b'\n            05/22/2018          '
"b'\nMuir Medical Group, IPA. Inc. '",b'\n12/07/2017 ',b'\n            05/22/2018          '
"b'\nWorldwide Services Insurance Agency, LLC '","b'\n10/11/2017, 10/13/2017 '",b'\n            05/21/2018          '
"b'\nBrinker International, Inc. '",b'\n05/11/2018 ',b'\n            05/18/2018          '
"b'\nBombas, LLC  '",b'\n            n/a          ',b'\n            05/18/2018          '
"b'\nBlack Phoenix, Inc '",b'\n05/01/2018 ',b'\n            05/17/2018          '
b'\nCorporation Service Company ',b'\n11/25/2017 ',b'\n            05/17/2018          '
b'\nSears Holdings Management Corporation ',"b'\n09/27/2017, 10/12/2017 '",b'\n            05/17/2018          '
"b""\nProvidence Saint John's Health Center ""","b'\n11/20/2017, 12/09/2017 '",b'\n            05/16/2018          '
b'\nLifeBridge Health ',"b'\n09/27/2016, 03/18/2018 '",b'\n            05/15/2018          '
"b'\nTaskRabbit, Inc. '",b'\n04/11/2018 ',b'\n            05/14/2018          '
"b'\nSan Francisco Department of Public Health (""SFDPH"") '",b'\n12/09/2017 ',b'\n            05/11/2018          '
"b'\nCapitol Administrators, Inc. '","b'\n01/07/2018, 01/24/2018 '",b'\n            05/11/2018          '
"b'\nFarmgirl Flowers, Inc. '","b'\n04/26/2018, 04/29/2018 '",b'\n            05/11/2018          '
"b'\nUSACS Management Group, Ltd. '",b'\n03/09/2018 ',b'\n            05/08/2018          '
b'\nDeephaven Mortgage LLC ',b'\n01/10/2018 ',b'\n            05/08/2018          '
b'\nGlobal University ',"b'\n12/31/2017, 01/31/2018 '",b'\n            05/08/2018          '
b'\nRail Europe North America Inc. ',b'\n11/29/2017 ',b'\n            05/08/2018          '
"b'\nMASON LAW OFFICE, P.C. '","b'\n05/05/2018, 05/04/2018 '",b'\n            05/05/2018          '
"b""\nRady Children's Hospital-San Diego """,b'\n03/29/2018 ',b'\n            05/03/2018          '
b'\nHudson\xe2\x80\x99s Bay Company ',b'\n            n/a          ',b'\n            04/27/2018          '
"b'\nCPT Group, Inc. '",b'\n12/08/2017 ',b'\n            04/27/2018          '
b'\nSouthwest Airlines co. ',b'\n10/01/2017 ',b'\n            04/20/2018          '
"b'\nW.W. Grainger, Inc. '","b'\n09/26/2017, 10/12/2017 '",b'\n            04/20/2018          '
b'\nCenter for Orthopaedic Specialists ',"b'\n02/18/2018, 02/25/2018, 03/04/2018 '",b'\n            04/19/2018          '
b'\nAccessLex Institute d/b/a Access Group ',b'\n03/23/2018 ',b'\n            04/18/2018          '
b'\nTemp-Tations Home LLC d/b/a \xe2\x80\x9cTara at Home\xe2\x80\x9d ',b'\n08/01/2017 ',b'\n            04/16/2018          '
"b'\nBest Buy Co., Inc. '","b'\n09/26/2017, 10/12/2017 '",b'\n            04/13/2018          '
"b'\nCalifornia Physicians\xe2\x80\x99 Service, d/b/a Blue Shield of California '",b'\n11/01/2017 ',b'\n            04/13/2018          '
"b'\nInogen, Inc. '",b'\n12/09/2017 ',b'\n            04/13/2018          '
"b'\nDelta Air Lines, Inc.  '","b'\n09/26/2017, 10/12/2017 '",b'\n            04/13/2018          '
"b'\nPF@-Com, Inc. '","b'\n02/20/2018, 03/15/2018 '",b'\n            04/13/2018          '
"b'\nMise En Place Restaurant Services, Inc. '","b'\n03/06/2018, 03/15/2018 '",b'\n            04/12/2018          '
"b'\nWalker Advertising, LLC '",b'\n01/29/2018 ',b'\n            04/09/2018          '
b'\nCA Dept. Developmental Services ',b'\n02/11/2018 ',b'\n            04/06/2018          '
b'\nBlue Beacon International ',"b'\n01/29/2018, 03/15/2018 '",b'\n            04/06/2018          '
"b'\nDollar Shave Club, Inc. '",b'\n03/21/2018 ',b'\n            04/04/2018          '
b'\nCity of Thousand Oaks ',b'\n01/04/2018 ',b'\n            04/03/2018          '
"b'\nAutism Learning Partners Holdings, LLC '",b'\n03/15/2018 ',b'\n            04/03/2018          '
"b'\nSonoma County Indian Health Project, Inc.  '",b'\n03/08/2018 ',b'\n            04/02/2018          '
"b'\nSanta Cruz Biotechnology, Inc. '",b'\n12/17/2017 ',b'\n            03/30/2018          '
b'\nFunding Circle ',b'\n06/01/2017 ',b'\n            03/30/2018          '
"b'\nMilligan Chiropractic Group, Inc. d/b/a Del Mar Chiropractic Sports Group '",b'\n01/31/2018 ',b'\n            03/30/2018          '
b'\nThermo Fisher Scientific Inc. ',b'\n            n/a          ',b'\n            03/30/2018          '
"b'\nUnder Armour, Inc. '",b'\n            n/a          ',b'\n            03/29/2018          '
"b'\nMendes & Haney, LLP '","b'\n01/23/2018, 02/26/2018 '",b'\n            03/29/2018          '
"b'\nFred Usinger, Inc. '",b'\n09/24/2017 ',b'\n            03/28/2018          '
"b'\nShutterfly, Inc. '",b'\n01/11/2018 ',b'\n            03/28/2018          '
"b'\nApplied Plan Administrators (""APA""), a division of The Retirement Advantage, Inc. (""TRA"") '",b'\n02/10/2018 ',b'\n            03/28/2018          '
b'\nManduka ',"b'\n02/22/2017, 03/05/2018 '",b'\n            03/27/2018          '
b'\nThe Prudential Insurance Company of America ',b'\n11/09/2017 ',b'\n            03/27/2018          '
"b'\nPaycor, Inc. '",b'\n02/16/2018 ',b'\n            03/26/2018          '
"b'\nBranton, de Jong and Associates '","b'\n02/11/2018, 02/26/2018 '",b'\n            03/25/2018          '
"b'\nAmerican Express Travel Related Services Company, Inc. '",b'\n10/01/2017 ',b'\n            03/22/2018          '
b'\nSOS TAX ',b'\n            n/a          ',b'\n            03/22/2018          '
b'\nOrbitz ',"b'\n10/01/2017, 12/22/2017 '",b'\n            03/21/2018          '
"b'\nCareMeridian, LLC '",b'\n12/21/2017 ',b'\n            03/20/2018          '
b'\nBronson Nutritionals LLC ',"b'\n05/15/2017, 01/30/2018 '",b'\n            03/19/2018          '
"b'\nNC Financial Solutions of California, LLC d/b/a NetCredit (""NetCredit"") '",b'\n02/19/2018 ',b'\n            03/19/2018          '
b'\nTaylor-Dunn Manufacturing ',"b'\n04/26/2017, 01/24/2018 '",b'\n            03/16/2018          '
b'\nDiscover Financial Services ',b'\n12/06/2014 ',b'\n            03/13/2018          '
"b'\nCalifornia State University, Fresno '",b'\n12/22/2017 ',b'\n            03/06/2018          '
b'\nPreferred Hotel & Resorts ',"b'\n06/01/2016, 11/01/2017 '",b'\n            03/02/2018          '
b'\nCruzstar LLC. ',b'\n11/05/2017 ',b'\n            03/02/2018          '
b'\nMJ Freeway Business Solutions ',b'\n11/19/2016 ',b'\n            03/01/2018          '
"b'\nVentiv Technology, Inc. '",b'\n10/14/2017 ',b'\n            03/01/2018          '
"b'\nTravCorp USA, Inc. d/b/a The Travel Corporation '",b'\n02/26/2018 ',b'\n            03/01/2018          '
b'\nFastHealth Corporation ',"b'\n08/14/2017, 08/18/2017 '",b'\n            02/27/2018          '
b'\nCalifornia College of the Arts ',b'\n01/19/2018 ',b'\n            02/26/2018          '
"b'\nInnovative Artists Talent and Literary Agency, Inc. '",b'\n02/11/2018 ',b'\n            02/26/2018          '
b'\nNorth 40 Outfitters ',"b'\n01/20/2017, 01/29/2018 '",b'\n            02/23/2018          '
"b'\nSanta Cruz Biotechnology, Inc. '",b'\n12/17/2017 ',b'\n            02/22/2018          '
"b'\nSolera Holdings, Inc. '",b'\n            n/a          ',b'\n            02/21/2018          '
b'\nLos Angeles Philharmonic ',b'\n02/14/2018 ',b'\n            02/20/2018          '
"b'\nAscensus, LLC '",b'\n01/31/2018 ',b'\n            02/20/2018          '
